m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
0.03,0.05,4.165871658716587,4.163455552788845,267527,64256,4.163840569121658,4.162590702709486,0.0020310895949293695,0.00328095600710121
0.04,0.09,4.165871658716587,4.165247990869752,262773,63087,4.165410650669448,4.166607736271594,0.000461008047139444,0.0007360775550067089
0.06,0.09,4.165871658716587,4.169065790744855,258924,62106,4.169176804486109,4.16431585334666,0.0033051457695219,0.0015558053699269436
0.05,0.08,4.165871658716587,4.163709124535642,261152,62721,4.163658311235709,4.162941856550122,0.0022133474808780917,0.0029298021664647678
0.03,0.03,4.165871658716587,4.164149308242285,269079,64618,4.163977572785834,4.164786636441613,0.001894085930753242,0.0010850222749745342
0.06,0.0699999999999999,4.165871658716587,4.157813801499327,259564,62428,4.157676294139191,4.156558156821421,0.008195364577396447,0.009313501895165999
0.5,0.9,4.165871658716587,4.154018287742582,107668,25919,4.154775164065277,4.152544043706106,0.011096494651310351,0.013327615010481075
0.02,0.09,4.165871658716587,4.162640524102131,266230,63957,4.16253890872032,4.160616394767539,0.0033327499962672036,0.0052552639490484054
0.2,0.9,4.165871658716587,4.152558000448553,166638,40129,4.152024104539291,4.1477643087069564,0.013847554177296217,0.018107350009630707
0.04,0.04,4.165871658716587,4.168573035814738,266772,63996,4.168317335386525,4.1723556420155505,0.0024456766699376686,0.0064839832989633805
0.02,0.04,4.165871658716587,4.164419821483533,270604,64980,4.165400788168577,4.1651019510363545,0.00047087054801053796,0.0007697076802326563
0.1,0.5,4.165871658716587,4.164965206087023,217861,52308,4.1643370563573825,4.164028715545461,0.001534602359204662,0.001842943171125988
0.4,0.6,4.165871658716587,4.158839893133556,150995,36307,4.159431824098866,4.159272979604692,0.006439834617721019,0.006598679111895045
0.8,0.9,4.165871658716587,4.143224092116918,46777,11290,4.140580538848215,4.153078191054798,0.02529111986837229,0.01279346766178957
0.7,0.8,4.165871658716587,4.152077758969038,76037,18313,4.1523714078842895,4.150469172172912,0.013500250832297667,0.015402486543675487
0.1,0.7,4.165871658716587,4.1725041794803,202162,48451,4.171533117317131,4.169020645108728,0.0056614586005441225,0.0031489863921407846
0.1,0.6,4.165871658716587,4.163553259141494,209510,50320,4.163155721827444,4.162863087085828,0.0027159368891434,0.0030085716307590715
0.04,0.08,4.165871658716587,4.163716604185451,263226,63219,4.163596559459799,4.163364478639419,0.002275099256788593,0.002507180077167881
0.4,0.5,4.165871658716587,4.159290869817186,157895,37962,4.158568813972309,4.154806256089563,0.007302844744278225,0.01106540262702449
0.6,0.6,4.165871658716587,4.165512543989102,110082,26427,4.166461281968081,4.167426163344356,0.0005896232514936983,0.001554504627768516
0.01,0.0699999999999999,4.165871658716587,4.165126432880263,269971,64817,4.164749948658866,4.1635899692035085,0.0011217100577214367,0.002281689513078611
0.1,0.4,4.165871658716587,4.164796208879011,226744,54443,4.1654427481706096,4.16562384521222,0.00042891054597760103,0.0002478135043668672
0.6,0.7,4.165871658716587,4.168834325999757,102891,24681,4.168847089122778,4.170525361323889,0.00297543040619086,0.004653702607301469
0.3,0.9,4.165871658716587,4.159534396329548,146869,35309,4.15734616674341,4.159389256694555,0.008525491973177424,0.0064824020220317635
0.1,0.2,4.165871658716587,4.172530609437336,242641,58152,4.1727348506658775,4.1740107664730575,0.006863191949290304,0.00813910775647031
0.1,0.8,4.165871658716587,4.167439376135028,195057,46805,4.166322185497364,4.163425594809047,0.00045052678077706076,0.002446063907540541
0.3,0.5,4.165871658716587,4.165842507930584,178598,42872,4.165896624806811,4.161794878103376,2.4966090223621507e-05,0.0040767806132109285
0.04,0.05,4.165871658716587,4.161447405505276,265775,63866,4.160988949741022,4.163835049329262,0.0048827089755647535,0.0020366093873249724
0.4,0.8,4.165871658716587,4.1716085989621945,135060,32376,4.170732175330054,4.175762649603646,0.004860516613466537,0.009890990887059026
0.03,0.0699999999999999,4.165871658716587,4.162264978004602,265873,63877,4.162404312191295,4.161220753207588,0.0034673465252925695,0.004650905508999159
0.3,0.4,4.165871658716587,4.156448581401593,185760,44692,4.156373575264899,4.1601382145589705,0.00949808345168801,0.005733444157616674
0.0699999999999999,0.0699999999999999,4.165871658716587,4.168917612171223,258673,62048,4.169177048271156,4.166528785750869,0.0033053895545691603,0.0006571270342821123
