m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
0.4,0.6,4.165871658716587,4.158839893133556,150995,36307,4.157686034868647,4.145748090123275,0.008185623847940526,0.02012356859331188
0.8,0.9,4.165871658716587,4.143224092116918,46777,11290,4.14450886879629,4.213710629778256,0.021362789920297054,0.0478389710616689
0.7,0.8,4.165871658716587,4.152077758969038,76037,18313,4.150452367174002,4.137836455046339,0.015419291542585256,0.02803520367024781
0.1,0.7,4.165871658716587,4.1725041794803,202162,48451,4.1644404848717835,4.180786574861122,0.0014311738448036238,0.014914916144534551
0.1,0.6,4.165871658716587,4.163553259141494,209510,50320,4.166309508618134,4.174974824402872,0.0004378499015471604,0.009103165686284775
0.04,0.08,4.165871658716587,4.163716604185451,263226,63219,4.163020296445586,4.140008667417919,0.0028513622710013564,0.025862991298668092
0.4,0.5,4.165871658716587,4.159290869817186,157895,37962,4.164010235130522,4.167873445968447,0.001861423586064781,0.0020017872518600655
0.6,0.6,4.165871658716587,4.165512543989102,110082,26427,4.171181853014225,4.184129377120764,0.005310194297638127,0.018257718404177226
0.01,0.0699999999999999,4.165871658716587,4.165126432880263,269971,64817,4.1648788460327655,4.1684267842787674,0.0009928126838216755,0.0025551255621802937
0.1,0.4,4.165871658716587,4.164796208879011,226744,54443,4.171227194798786,4.154824532327712,0.005355536082198853,0.01104712638887495
0.6,0.7,4.165871658716587,4.168834325999757,102891,24681,4.170639939816534,4.163737771114263,0.0047682810999472025,0.002133887602323803
0.3,0.9,4.165871658716587,4.159534396329548,146869,35309,4.160155701659522,4.16674773504702,0.005715957057065069,0.0008760763304325181
0.1,0.2,4.165871658716587,4.172530609437336,242641,58152,4.1722137978977845,4.161126583420733,0.006342139181197304,0.004745075295853773
0.1,0.8,4.165871658716587,4.167439376135028,195057,46805,4.1677076043797365,4.1536846800456315,0.0018359456631493742,0.01218697867095564
0.3,0.5,4.165871658716587,4.165842507930584,178598,42872,4.169159226258241,4.181249948539595,0.003287567541653935,0.015378289823007485
0.04,0.05,4.165871658716587,4.161447405505276,265775,63866,4.162139592783612,4.1688131902101295,0.003732065932974926,0.002941531493542371
0.4,0.8,4.165871658716587,4.1716085989621945,135060,32376,4.169334615546828,4.179487471282519,0.003462956830240671,0.013615812565931584
0.03,0.0699999999999999,4.165871658716587,4.162264978004602,265873,63877,4.1685569679472305,4.157434081206196,0.0026853092306433624,0.008437577510391314
0.3,0.4,4.165871658716587,4.156448581401593,185760,44692,4.156303443624152,4.144782966166591,0.009568215092435217,0.02108869254999579
0.0699999999999999,0.0699999999999999,4.165871658716587,4.168917612171223,258673,62048,4.166202710836367,4.154084262715383,0.0003310521197796845,0.011787396001204264
0.9,0.9,4.165871658716587,4.189201451905626,27699,6612,4.1747644848435375,4.15637054390246,0.008892826126950304,0.009501114814127298
0.5,0.7,4.165871658716587,4.159006671608599,123431,29678,4.159131533934078,4.139904504372745,0.006740124782509405,0.025967154343842225
0.1,0.3,4.165871658716587,4.162357807652533,233450,56086,4.167507021593331,4.152731717467233,0.0016353628767440398,0.013139941249353804
0.06,0.08,4.165871658716587,4.169005716487892,259629,62276,4.167933414377039,4.178513930731886,0.0020617556604518583,0.012642272015298772
0.01,0.05,4.165871658716587,4.164713641522746,271531,65198,4.163729397143151,4.1659674750966005,0.0021422615734358885,9.581638001332493e-05
0.05,0.06,4.165871658716587,4.165988312243638,263053,63143,4.168209115111654,4.162404766588497,0.0023374563950664395,0.0034668921280900378
0.04,0.06,4.165871658716587,4.16410731967999,264933,63623,4.164065996651917,4.1708020962308066,0.0018056620646698107,0.004930437514219399
0.01,0.06,4.165871658716587,4.167278874971183,271144,65065,4.16653138324983,4.1764274827585925,0.0006597245332429225,0.01055582404200539
0.5,0.6,4.165871658716587,4.17192614485016,131278,31467,4.168448069554332,4.161660082222542,0.002576410837744625,0.004211576494045133
0.2,0.2,4.165871658716587,4.165137786431032,222485,53416,4.166653087517044,4.167813581565174,0.0007814288004572845,0.0019419228485864082
0.4,0.7,4.165871658716587,4.177562456222274,143140,34264,4.178408266509077,4.1935999861697555,0.012536607792489995,0.027728327453168333
