average,total_sum,total_element,m,M,average_laplacian,average_gaussian
4.152232789569818,131850,31754,0.4,0.6,4.160626698562931,4.0329687771153395
4.1738986905329565,113793,27263,0.4,0.7,4.1651721499077095,3.936396640004973
4.167204113648248,95629,22948,0.4,0.8,4.191423063860835,4.290264275043069
4.194428136841544,78591,18737,0.4,0.9,4.199042234937706,3.8810776818352015
4.158452187518806,138202,33234,0.5,0.5,4.1551333749723,3.919386562296764
4.168927970322536,121370,29113,0.5,0.6,4.1721554450161635,3.982257061472608
4.14954397525011,103278,24889,0.5,0.7,4.141557189383024,3.952698382557495
4.163639013017292,85721,20588,0.5,0.8,4.055226291915268,4.432490560724621
4.137884709330728,67762,16376,0.5,0.9,4.1246214323381025,4.723872202430419
4.150013162348163,110353,26591,0.6,0.6,4.153856115767931,4.063704402258969
4.1658705839942325,92449,22192,0.6,0.7,4.155295131999173,4.2950539472612626
4.178624443344879,76005,18189,0.6,0.8,4.141120927430578,4.0042838364242686
4.166619074814392,58366,14008,0.6,0.9,4.14124914490642,4.593326855728268
4.174253523973122,82621,19793,0.7,0.7,4.166148966581144,4.627905936291106
4.176910978295061,66392,15895,0.7,0.8,4.181835465394657,3.957495746338141
4.185821788951599,48949,11694,0.7,0.9,3.9268709146644705,4.162797902278654
4.189798516965022,55938,13351,0.8,0.8,4.156222578851246,4.1447130722402
4.146322971948446,38283,9233,0.8,0.9,4.199184252586316,3.6834198352409877
4.134760147601476,28013,6775,0.9,0.9,4.117392075151592,5.184110072540558
4.16729088639201,250350,60075,0.1,0.1,4.17632410075255,4.134548832562634
4.152078853046595,231686,55800,0.1,0.2,4.144438716628543,4.198764265832661
4.165393660233612,214322,51453,0.1,0.3,4.147092882445648,4.092801829041753
4.1597875986375845,196629,47269,0.1,0.4,4.248092354757449,4.080378073171255
4.163587107529869,179817,43188,0.1,0.5,4.157120288315722,4.03600113704119
4.170387173274218,161786,38794,0.1,0.6,4.176152918517397,4.223067509878418
4.161600370563372,143750,34542,0.1,0.7,4.1601514304167075,4.265694175231917
4.15141157524567,126315,30427,0.1,0.8,4.13744812125893,4.095335966268751
4.176216216216217,108164,25900,0.1,0.9,4.142572633895405,4.079754796306061
4.164859652079471,222416,53403,0.2,0.2,4.1650224222128776,4.2006550031137175
4.177345327703323,204786,49023,0.2,0.3,4.168002882281625,3.991176538418945
4.166470208838378,187337,44963,0.2,0.4,4.153800119929768,4.157259501024329
4.163485989384027,168642,40505,0.2,0.5,4.183609209288289,4.225929591465657
4.172812388457209,151978,36421,0.2,0.6,4.11489694470766,4.320366264299945
4.181560239461212,134111,32072,0.2,0.7,4.180161359651807,4.123109106681868
4.1566619966232,115709,27837,0.2,0.8,4.137996533537898,3.884723224248694
4.149096768721907,97844,23582,0.2,0.9,4.119442213291708,4.224104353244064
4.16300691959982,194325,46679,0.3,0.3,4.154979568887152,4.26512440550537
4.173784563427848,177966,42639,0.3,0.4,4.169941647201956,4.048381609795789
4.154224020174425,158143,38068,0.3,0.5,4.1384574801117715,4.49900480306356
4.1646827146342185,141695,34023,0.3,0.6,4.2456499919140915,4.059894757517343
4.164235294117647,123886,29750,0.3,0.7,4.191474088583546,4.252701098027364
4.182963945684408,107201,25628,0.3,0.8,4.178188686058067,3.847277660990002
4.162802654949986,89059,21394,0.3,0.9,4.153175823174593,4.053979972761836
4.163945476333134,166791,40056,0.4,0.4,4.172150865033478,4.163261153237964
4.168695262878089,148985,35739,0.4,0.5,4.145692773882602,4.1149445200227
4.164747089078919,131985,31691,0.4,0.6,4.292307116850134,4.158229871563418
4.154884271241588,112373,27046,0.4,0.7,4.1609760358893615,4.517821698540251
4.174330164217805,96594,23140,0.4,0.8,4.164313712985854,4.194075826915044
4.170657887750226,78546,18833,0.4,0.9,4.312371280203385,4.0427463864882975
4.166491801312989,138990,33359,0.5,0.5,4.154774864328609,4.338581352464391
4.187410488985883,122800,29326,0.5,0.6,4.155705250744604,4.163032822172535
4.174990871099931,102901,24647,0.5,0.7,4.157651878303507,4.077480999130183
4.192404817404817,86330,20592,0.5,0.8,4.130505341167673,3.941956308280869
4.154881139133583,68863,16574,0.5,0.9,4.082450219895837,4.329167621073744
4.165145572484538,110443,26516,0.6,0.6,4.147354839376468,4.176483259262785
4.17872038335256,94180,22538,0.6,0.7,4.269985215641176,4.0307458046277205
4.133721898417985,74469,18015,0.6,0.8,4.14678177553538,4.204933498967025
4.1658237766222665,58484,14039,0.6,0.9,4.296026665010464,4.581450207802346
4.170154046866376,83107,19929,0.7,0.7,4.131780451760588,4.190820586851904
4.154966632443532,64751,15584,0.7,0.8,4.178883262682942,4.488145291633688
4.1563923996217005,48343,11631,0.7,0.9,4.108735736675255,3.3307002853839074
4.182131356249532,55844,13353,0.8,0.8,4.173985781486701,4.20627802737574
4.193174360096259,38334,9142,0.8,0.9,4.226910706056137,6.108618580580744
4.195192016933777,27747,6614,0.9,0.9,4.220009751692561,4.188127334289884
