original average,supression average,total_sum,total_element,m,M,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
42.82262322623226,42.67147384375144,929086,21773,0.3,0.8,42.7023303744547,42.7140751257233,0.12029285177756321,0.10854810050896191
42.82262322623226,42.67077475321568,713242,16715,0.3,0.9,42.66329301910018,42.67241410259244,0.15933020713207924,0.15020912363981864
42.82262322623226,42.81999750343278,1715155,40055,0.4,0.4,42.81662787940325,42.82360382557761,0.005995346829010373,0.0009805993453468886
42.82262322623226,42.767610269914414,1494172,34937,0.4,0.5,42.781007283439536,42.73807114588633,0.04161594279272407,0.08455208034592943
42.82262322623226,42.93903743315508,1284736,29920,0.4,0.6,42.938043248358845,42.924855764331305,0.11542002212658531,0.1022325380990452
42.82262322623226,42.847372441799685,1065657,24871,0.4,0.7,42.86082580752888,42.86075146414181,0.03820258129662335,0.038128237909553775
42.82262322623226,42.72008995502249,854829,20010,0.4,0.8,42.73106223106776,42.71826622050642,0.09156099516449956,0.10435700572583784
42.82262322623226,42.870511789924976,639971,14928,0.4,0.9,42.86488775110861,42.71849517767763,0.04226452487635157,0.1041280485546281
42.82262322623226,42.94678998258363,1430214,33302,0.5,0.5,42.92164211584024,42.939430755166235,0.09901888960798289,0.11680752893397539
42.82262322623226,42.8082245107407,1209632,28257,0.5,0.6,42.82210672420273,42.848765470696364,0.0005165020295265776,0.02614224446410418
42.82262322623226,42.92299728225702,994998,23181,0.5,0.7,42.90848048115942,42.82871198917353,0.08585725492716278,0.006088762941267589
42.82262322623226,42.73923051627754,779820,18246,0.5,0.8,42.77404353577423,42.66685069739906,0.0485796904580269,0.1557725288331966
42.82262322623226,42.93735311398355,584635,13616,0.5,0.9,42.92857427291603,42.936399373564306,0.10595104668377076,0.11377614733204666
42.82262322623226,42.94827844311377,1147578,26720,0.6,0.6,42.94512552889085,42.9717758716258,0.12250230265858875,0.14915264539354212
42.82262322623226,42.806022216102086,932572,21786,0.6,0.7,42.80323412140034,42.761250341101714,0.01938910483192302,0.061372885130545285
42.82262322623226,42.54069490718705,715024,16808,0.6,0.8,42.546416661645885,42.507472710296895,0.27620656458637427,0.3151505159353647
42.82262322623226,43.21933534743202,500696,11585,0.6,0.9,43.20798967589059,43.18097988161209,0.3853664496583278,0.3583566553798292
42.82262322623226,42.988494870006974,863123,20078,0.7,0.7,42.99215935991579,42.93435667194071,0.16953613368352904,0.11173344570845245
42.82262322623226,42.79841818423501,643945,15046,0.7,0.8,42.79466433975422,42.73516937928055,0.027958886478039346,0.08745384695171055
42.82262322623226,42.569354522268,433952,10194,0.7,0.9,42.542719153853646,42.47005619988812,0.2799040723786135,0.35256702634413983
42.82262322623226,42.80136115473787,572297,13371,0.8,0.8,42.83148243968749,42.90281264368578,0.00885921345523144,0.08018941745351782
42.82262322623226,42.89815480469686,358028,8346,0.8,0.9,42.903481488641106,43.1461356613306,0.08085826240884586,0.32351243509833694
42.82262322623226,42.70724725026367,283448,6637,0.9,0.9,42.66486080651731,42.590890554050745,0.15776241971494898,0.23173267218151494
42.82262322623226,42.81388680503459,2568191,59985,0.1,0.1,42.81714772280333,42.82757157706275,0.005475503428932882,0.004948350830488835
42.82262322623226,42.81835025703439,2357193,55051,0.1,0.2,42.81185727924011,42.759468825860246,0.010765946992151498,0.0631544003720137
42.82262322623226,42.82391779887215,2133873,49829,0.1,0.3,42.821320877914395,42.82056281539092,0.0013023483178642437,0.0020604108413380118
42.82262322623226,42.83861103109003,1933178,45127,0.1,0.4,42.837979798337045,42.84048388425241,0.01535657210478547,0.01786065802014747
42.82262322623226,42.86039943009973,1714716,40007,0.1,0.5,42.86531884498228,42.91793709552367,0.04269561875002381,0.0953138692914095
42.82262322623226,42.70204303536683,1492351,34948,0.1,0.6,42.69535777574235,42.656304532314536,0.127265450489908,0.1663186939177237
42.82262322623226,42.88905820386259,1294692,30187,0.1,0.7,42.895700660041,42.90036012668552,0.07307743380874143,0.0777369004532602
