average,total_sum,total_element,m,M,average_laplacian,average_gaussian
42.81983377520927,1437419,33569,0.2,0.6,43.045422157479386,42.50832593777704
42.85625463666231,1213132,28307,0.2,0.7,42.172694958390196,40.06073570799938
42.78116153384233,997400,23314,0.2,0.8,42.37581357484875,43.00658372295472
42.78639448336252,781793,18272,0.2,0.9,43.15876221437915,39.48183756865034
42.86188165578839,1996335,46576,0.3,0.3,42.91868388742521,42.201755128149244
42.75707082833133,1780832,41650,0.3,0.4,43.15142850499231,42.24342812571176
42.82482792661859,1561693,36467,0.3,0.5,42.66467094006758,42.27187291396775
42.73434206801095,1358482,31789,0.3,0.6,43.60018597812444,42.02946545435228
42.99213596213336,1153522,26831,0.3,0.7,42.921725306613446,43.34308808911997
42.80139228251348,928405,21691,0.3,0.8,41.83634420397772,43.65453159603208
42.65652930238138,711127,16671,0.3,0.9,42.83831989969594,42.25663473919558
42.86057993533996,1710180,39901,0.4,0.4,42.36799054765621,43.73480754627794
42.71684300829282,1493808,34970,0.4,0.5,43.57693128804369,42.93194205981845
42.83106847855049,1285960,30024,0.4,0.6,43.635934245726716,44.57642084014116
42.82332843351476,1077906,25171,0.4,0.7,43.094824962158285,42.76408542662887
42.69384003974168,859427,20130,0.4,0.8,42.86597360991993,41.022324466633975
42.848810796365576,641361,14968,0.4,0.9,42.795729318729705,43.09321786417077
42.85587722986366,1427015,33298,0.5,0.5,43.0752928446413,42.34836859949792
42.68889124818629,1206260,28257,0.5,0.6,42.045442996002535,44.462254357012036
42.914317974551615,988188,23027,0.5,0.7,42.987227670554596,42.64288680717032
42.81933939163084,786891,18377,0.5,0.8,43.41050480303349,44.39278963060512
42.97394939165485,575722,13397,0.5,0.9,43.33880142033775,47.466459167810605
42.73153462025788,1146658,26834,0.6,0.6,43.264383399370224,47.24830661489696
42.78627541589649,925895,21640,0.6,0.7,42.583140839578654,47.12360766443648
42.95985379591348,716957,16689,0.6,0.8,42.63378381458783,41.38977518110013
42.76026512869071,496746,11617,0.6,0.9,42.575736231693256,42.36070933079391
43.03339833008349,860711,20001,0.7,0.7,42.667261848832005,48.87717237945848
42.68089376505218,637994,14948,0.7,0.8,43.952301010117175,38.19146038623921
42.74018370848895,423427,9907,0.7,0.9,42.90128663058306,35.9955389924497
42.812072892938495,563835,13170,0.8,0.8,43.33814269045766,39.29511788777428
42.95616241466044,358641,8349,0.8,0.9,43.230151790828664,44.367471667715314
42.83741284675864,288767,6741,0.9,0.9,43.230733014245736,42.423285803725214
42.810136698912736,2571134,60059,0.1,0.1,42.66048166655288,42.88531040351885
42.81424659521608,2360906,55143,0.1,0.2,42.70765722602005,42.75712319095002
42.81764835033233,2145207,50101,0.1,0.3,42.88576874454814,43.08584958449161
42.85222569006353,1935935,45177,0.1,0.4,42.63036370229354,44.96347072453725
42.74102263369351,1712761,40073,0.1,0.5,42.69449165308095,42.996102991656755
42.73348299281066,1503834,35191,0.1,0.6,43.0289732146788,39.24948396132451
42.859450240770464,1281669,29904,0.1,0.7,41.90282416619022,42.741905781253635
