m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.4,0.8,2.3272746158824,1.3500270004050048e-10,42.822623226232274,-0.0511726709780075,,-0.051616596812048,,-0.0513146752666968,
0.4,0.7,1.9790049893762525,1.3500270004050048e-10,42.822623226232274,-0.0485872542303322,,-0.0488370792001419,,-0.0487877303230778,
0.4,0.6,1.8136258392169444,1.3500270004050048e-10,42.822623226232274,-0.0469105243900024,,-0.0474440134110544,,-0.0466407501017463,
0.4,0.5,1.6946183296263162,1.3500270004050048e-10,42.822623226232274,-0.0405911264134921,,-0.0408316596767792,,-0.0402454346786093,
0.4,0.4,1.5755571176516256,1.3500270004050048e-10,42.822623226232274,-0.0425447251354622,,-0.0425693242260687,,-0.0421872596535414,
0.5,0.9,3.07045861030067,1.1250225003375047e-10,42.822623226232274,-0.0648519457694057,,,,-0.0653350055574481,
0.5,0.8,1.929451895067676,1.1250225003375047e-10,42.822623226232274,-0.0581719800441328,,-0.0578673126270488,,-0.0581210751720907,
0.5,0.7,1.6326197279579056,1.1250225003375047e-10,42.822623226232274,-0.0561850323487001,,-0.0562157411573514,,-0.0558703107802545,
0.5,0.6,1.5124860248224743,1.1250225003375047e-10,42.822623226232274,-0.0560574707642567,,-0.056200731476617,,-0.0555867738801989,
0.5,0.5,1.433780830483027,1.1250225003375047e-10,42.822623226232274,-0.052901064355609,,-0.0530914528692604,,-0.0523476541343585,
0.6,0.9,2.454458592793241,9.000180002700038e-11,42.822623226232274,-0.0753583647003401,,-0.0751959564081048,,-0.0756210211770494,
0.6,0.8,1.5704586103006697,9.000180002700038e-11,42.822623226232274,-0.0652164181422747,,-0.0653693898390296,,-0.0649455311264806,
0.6,0.7,1.3448557771330518,9.000180002700038e-11,42.822623226232274,-0.0649749258475174,,-0.0656033081129907,,-0.0642956396880466,
0.6,0.6,1.268530136416278,9.000180002700038e-11,42.822623226232274,-0.0633789122157742,,-0.0630265945003468,,-0.0626509519467725,
0.7,0.9,1.823214990557691,6.750135002025028e-11,42.822623226232274,-0.0889518228199777,,-0.0882524523126921,,-0.0888319319004156,
0.7,0.8,1.204458592793241,6.750135002025028e-11,42.822623226232274,-0.0829538073004388,,-0.0829220778023142,,-0.0817854280238951,
0.7,0.7,1.0704586103006697,6.750135002025028e-11,42.822623226232274,-0.0841607011253218,,-0.0833840916017311,,-0.082910962474236,
0.8,0.9,1.1721065788577625,4.5000900013500165e-11,42.822623226232274,-0.1108965909086777,,-0.1106759418020412,,-0.109723564220519,
0.8,0.8,0.823214990557691,4.5000900013500165e-11,42.822623226232274,-0.1098018091981792,,-0.1103849867409658,,-0.1069692748960847,
0.9,0.9,0.4940287080441788,2.250045000675008e-11,42.822623226232274,-0.1688094746757614,,-0.1680046932480391,,-0.163473059818879,
0.01,0.09,9.918985343586185,2.2275445506682583e-10,42.822623226232274,-0.0080628532950037,,,,-0.0094834276805676,
0.01,0.08,8.928317968810918,2.2275445506682583e-10,42.822623226232274,-0.0076414005297859,,,,-0.0089204215928741,
0.01,0.07,7.937564300863371,2.2275445506682583e-10,42.822623226232274,-0.0067123887771804,,,,-0.0080108347893811,
0.01,0.06,6.946725920936476,2.2275445506682583e-10,42.822623226232274,-0.0060290595451811,,,,-0.0073145685342949,
0.01,0.05,5.955804367157967,2.2275445506682583e-10,42.822623226232274,-0.0060379483157397,,,,-0.0072565670011072,
0.01,0.04,4.964801136140165,2.2275445506682583e-10,42.822623226232274,-0.0055856517720541,,,,-0.0066050024906389,
0.01,0.03,3.9737176844607256,2.2275445506682583e-10,42.822623226232274,-0.0047558860540381,,-0.0048904639788885,,-0.0056410375849402,
0.01,0.02,2.982555430077965,2.2275445506682583e-10,42.822623226232274,-0.0048149247405652,,-0.0057616976192129,,-0.0053802157255483,
0.01,0.01,1.9913157536841373,2.2275445506682583e-10,42.822623226232274,-0.0039896232113564,,-0.0037768005349137,,-0.0039084823133348,
0.02,0.09,5.418985343586186,2.2050441006615078e-10,42.822623226232274,-0.0083857370217353,,,,-0.0093295642208086,
0.02,0.08,4.928317968810917,2.2050441006615078e-10,42.822623226232274,-0.0088224033180949,,,,-0.0097129224985168,
0.02,0.07,4.437564300863365,2.2050441006615078e-10,42.822623226232274,-0.0078578373881071,,,,-0.0088025089063404,
0.02,0.06,3.9467259209364793,2.2050441006615078e-10,42.822623226232274,-0.0079369162548523,,-0.0079629358769234,,-0.0087985377540488,
0.02,0.05,3.455804367157969,2.2050441006615078e-10,42.822623226232274,-0.0074751336370702,,-0.0100882276468817,,-0.008273456405534,
0.02,0.04,2.9648011361401645,2.2050441006615078e-10,42.822623226232274,-0.0076109836002461,,-0.0077993815823327,,-0.008207141977808,
0.02,0.03,2.473717684460726,2.2050441006615078e-10,42.822623226232274,-0.0062457412326356,,-0.0065266355205838,,-0.0065330273748893,
0.02,0.02,1.9825554300779653,2.2050441006615078e-10,42.822623226232274,-0.0064328021317535,,-0.0064371606560001,,-0.006299092884754,
0.03,0.09,3.918985343586185,2.1825436506547587e-10,42.822623226232274,-0.0095377173568126,,-0.009689203467307,,-0.0104154718593277,
0.03,0.08,3.5949846354775845,2.1825436506547587e-10,42.822623226232274,-0.0102234533458546,,-0.0137281158559278,,-0.0107411159345049,
0.03,0.07,3.2708976341967,2.1825436506547587e-10,42.822623226232274,-0.0090244135224004,,-0.0100465462176867,,-0.0095673349132143,
0.03,0.06,2.946725920936479,2.1825436506547587e-10,42.822623226232274,-0.0088746856418368,,-0.0093771140154425,,-0.0093697727643619,
0.03,0.05,2.622471033824637,2.1825436506547587e-10,42.822623226232274,-0.0083482206860738,,-0.0088393731309669,,-0.0086815444372068,
0.03,0.04,2.2981344694734966,2.1825436506547587e-10,42.822623226232274,-0.0085379120880001,,-0.0086431527063832,,-0.0086826086924642,
0.03,0.03,1.9737176844607265,2.1825436506547587e-10,42.822623226232274,-0.0082843331716517,,-0.0084535435849693,,-0.0082357341472281,
0.04,0.09,3.168985343586184,2.1600432006480083e-10,42.822623226232274,-0.0110383136935422,,-0.0115607067568881,,-0.0116712383889107,
0.04,0.08,2.928317968810916,2.1600432006480083e-10,42.822623226232274,-0.0105128561003555,,-0.011246550765116,,-0.0111037940016608,
0.04,0.07,2.6875643008633654,2.1600432006480083e-10,42.822623226232274,-0.0107338303872027,,-0.0107254748729729,,-0.0110223939476753,
0.04,0.06,2.446725920936479,2.1600432006480083e-10,42.822623226232274,-0.009189407403019,,-0.0092760130798145,,-0.0093666638043036,
0.04,0.05,2.20580436715797,2.1600432006480083e-10,42.822623226232274,-0.0097024910196317,,-0.0096775161547595,,-0.0097604481586622,
0.04,0.04,1.964801136140164,2.1600432006480083e-10,42.822623226232274,-0.0097746409037034,,-0.0097416968072942,,-0.0097935044643544,
0.05,0.09,2.718985343586183,2.1375427506412576e-10,42.822623226232274,-0.0121671255650155,,-0.0122848345550733,,-0.0128398637418488,
0.05,0.08,2.5283179688109167,2.1375427506412576e-10,42.822623226232274,-0.0104045355310111,,-0.0105236808533118,,-0.0107245680201935,
0.05,0.07,2.337564300863366,2.1375427506412576e-10,42.822623226232274,-0.0109421051845612,,-0.0112259807933931,,-0.0112838680747847,
0.05,0.06,2.146725920936478,2.1375427506412576e-10,42.822623226232274,-0.011271805774822,,-0.0113983167706959,,-0.0114391498208615,
0.05,0.05,1.9558043671579688,2.1375427506412576e-10,42.822623226232274,-0.0102124453527426,,-0.0101348518882277,,-0.0102475306494368,
0.06,0.09,2.418985343586184,2.115042300634508e-10,42.822623226232274,-0.0128591437902679,,-0.0128151300201011,,-0.0131908230857555,
0.06,0.08,2.261651302144251,2.115042300634508e-10,42.822623226232274,-0.0124218093254969,,-0.0122905218557155,,-0.0127079293832329,
0.06,0.07,2.104230967530033,2.115042300634508e-10,42.822623226232274,-0.0122019662784368,,-0.0121657051177058,,-0.0122393208597633,
0.06,0.06,1.9467259209364776,2.115042300634508e-10,42.822623226232274,-0.0118583298658362,,-0.0119188762508923,,-0.0117097936828896,
0.07,0.09,2.20469962930047,2.0925418506277583e-10,42.822623226232274,-0.013685056716803,,-0.0136024849559939,,-0.0138682392348331,
0.07,0.08,2.071175111668061,2.0925418506277583e-10,42.822623226232274,-0.0132429331214354,,-0.0133264333414183,,-0.0133002118717879,
0.07,0.07,1.937564300863367,2.0925418506277583e-10,42.822623226232274,-0.0139561940392277,,-0.0137637032607258,,-0.0138923175178524,
0.08,0.09,2.043985343586184,2.0700414006210086e-10,42.822623226232274,-0.0151967092384206,,-0.015134485381576,,-0.0149778458991307,
0.08,0.08,1.9283179688109169,2.0700414006210086e-10,42.822623226232274,-0.0144354406133669,,-0.0143932263984584,,-0.0143827142992121,
0.09,0.09,1.918985343586184,2.0475409506142587e-10,42.822623226232274,-0.0150337273353195,,-0.0150578499335811,,-0.0149535393750858,
