m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.5,0.8,4.165871658716588,0.0093745848030804,0.0101735728487462
0.5,0.7,4.165871658716588,0.0094765261299164,0.0101749398350115
0.5,0.6,4.165871658716588,0.0083806489453013,0.0089841285412173
0.5,0.5,4.165871658716588,0.0080936127949034,0.0085363347893668
0.6,0.9,4.165871658716588,0.01197457964048,0.0127746248862973
0.6,0.8,4.165871658716588,0.0117196778504471,0.0122123008824153
0.6,0.7,4.165871658716588,0.0111228852720355,0.0119811533242597
0.6,0.6,4.165871658716588,0.0101412003202692,0.010749267040278
0.7,0.9,4.165871658716588,0.0144063164088194,0.0152183788046469
0.7,0.8,4.165871658716588,0.0132243146082433,0.014616877185048
0.7,0.7,4.165871658716588,0.0119969978617904,0.0130365605856495
0.8,0.9,4.165871658716588,0.0171340870581249,0.0191682554708299
0.8,0.8,4.165871658716588,0.0167809813523854,0.0186512079599204
0.9,0.9,4.165871658716588,0.0233315800092809,0.0270589304274411
0.01,0.09,4.165871658716588,0.0015330124695855,0.0021587824459804
0.01,0.08,4.165871658716588,0.0014177405833753,0.0021119915137974
0.01,0.07,4.165871658716588,0.0013835655403047,0.0021455974632111
0.01,0.06,4.165871658716588,0.0013656646323204,0.0020483051709382
0.01,0.05,4.165871658716588,0.0011665941907551,0.0020269674139392
0.01,0.04,4.165871658716588,0.0011703445972699,0.0019653454980166
0.01,0.03,4.165871658716588,0.0010168400896979,0.0018948007951458
0.01,0.02,4.165871658716588,0.0009193274916679,0.0017424563952222
0.01,0.01,4.165871658716588,0.0008476300632562,0.0016794887389586
0.02,0.09,4.165871658716588,0.0016701190594311,0.0022651197694653
0.02,0.08,4.165871658716588,0.0016272760033842,0.0022353829079362
0.02,0.07,4.165871658716588,0.0015697004311766,0.0021975567069346
0.02,0.06,4.165871658716588,0.0014194884527308,0.0020610653183079
0.02,0.05,4.165871658716588,0.0013414200175489,0.0021611509026106
0.02,0.04,4.165871658716588,0.0012937853229116,0.0019840686290383
0.02,0.03,4.165871658716588,0.0012195978174216,0.0019552378801858
0.02,0.02,4.165871658716588,0.0011724384820342,0.0020392907616502
0.03,0.09,4.165871658716588,0.001727364781825,0.0024499127576273
0.03,0.08,4.165871658716588,0.0017384602551425,0.0024134860282531
0.03,0.07,4.165871658716588,0.0015995725917796,0.0023726177237038
0.03,0.06,4.165871658716588,0.00154387771269,0.0022907020207776
0.03,0.05,4.165871658716588,0.001543896278318,0.0022671981505462
0.03,0.04,4.165871658716588,0.0015264965144921,0.0022600928561649
0.03,0.03,4.165871658716588,0.0013885846597588,0.0022297600191553
0.04,0.09,4.165871658716588,0.0019256179249909,0.0025382787927518
0.04,0.08,4.165871658716588,0.0019447218758522,0.0025302329469066
0.04,0.07,4.165871658716588,0.0018428533592125,0.0024484178778343
0.04,0.06,4.165871658716588,0.001780701658547,0.0024113439934144
0.04,0.05,4.165871658716588,0.0016908763641982,0.0023568862861888
0.04,0.04,4.165871658716588,0.001592170569562,0.002366839800446
0.05,0.09,4.165871658716588,0.0020155165204848,0.0025500490514197
0.05,0.08,4.165871658716588,0.0019841784818065,0.0024543950682848
0.05,0.07,4.165871658716588,0.0020479160263334,0.0027345210510907
0.05,0.06,4.165871658716588,0.0018559163778426,0.0023796093994738
0.05,0.05,4.165871658716588,0.0018688303944384,0.0025200044588767
0.06,0.09,4.165871658716588,0.0021278397779269,0.0027291694577576
0.06,0.08,4.165871658716588,0.00221590568245,0.0027572403312362
0.06,0.07,4.165871658716588,0.0020756732910136,0.0027132533678284
0.06,0.06,4.165871658716588,0.0019746974700712,0.0026529363078605
0.07,0.09,4.165871658716588,0.002370905963298,0.0028539377285092
0.07,0.08,4.165871658716588,0.0022861983910721,0.0029680153301688
0.07,0.07,4.165871658716588,0.0020992960998862,0.0026570127653579
0.08,0.09,4.165871658716588,0.0024075984087961,0.0028704571710682
0.08,0.08,4.165871658716588,0.0022811381048563,0.0028871838676592
0.09,0.09,4.165871658716588,0.0026637774101851,0.0032129332956688
