m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements
0.02,0.07,42.82262322623226,42.80503271419269,2760839,64498
0.2,0.2,42.82262322623226,42.74951682209671,2278250,53293
0.4,0.7,42.82262322623226,42.83801896972795,1508498,35214
0.1,0.1,42.82262322623226,42.82024604218341,2572255,60071
0.01,0.09,42.82262322623226,42.83107878563266,2773655,64758
0.4,0.4,42.82262322623226,42.78036085183054,1709546,39961
0.01,0.01,42.82262322623226,42.822588221033655,2826248,65999
0.6,0.8,42.82262322623226,42.902716952251374,1009029,23519
0.03,0.08,42.82262322623226,42.80998576144952,2736029,63911
0.08,0.09,42.82262322623226,42.77052748727517,2613322,61101
0.01,0.03,42.82262322623226,42.82264892191497,2812249,65672
0.03,0.04,42.82262322623226,42.82473013365547,2765150,64569
0.03,0.09,42.82262322623226,42.84064795630062,2729292,63708
0.2,0.5,42.82262322623226,42.78899985644853,2086520,48763
0.8,0.8,42.82262322623226,42.8869918699187,580261,13530
0.03,0.07,42.82262322623226,42.850799261738665,2739623,63934
0.3,0.3,42.82262322623226,42.79485305183497,1990517,46513
0.1,0.9,42.82262322623226,42.81217641216373,2025915,47321
0.4,0.9,42.82262322623226,42.76883784285803,1381519,32302
0.02,0.05,42.82262322623226,42.84403697996918,2780578,64900
0.02,0.06,42.82262322623226,42.824486896360014,2773014,64753
0.2,0.7,42.82262322623226,42.76462093862816,1954557,45705
0.07,0.09,42.82262322623226,42.835669327104014,2640562,61644
0.02,0.08,42.82262322623226,42.826111921536985,2759629,64438
0.02,0.03,42.82262322623226,42.8180075159138,2791520,65195
0.01,0.08,42.82262322623226,42.83047008612853,2779826,64903
0.02,0.02,42.82262322623226,42.81195234963987,2799602,65393
0.05,0.09,42.82262322623226,42.83810435615127,2684664,62670
0.07,0.07,42.82262322623226,42.7951917960625,2654115,62019
0.2,0.6,42.82262322623226,42.77869272122194,2005294,46876
0.5,0.8,42.82262322623226,42.85662173429683,1233585,28784
0.5,0.5,42.82262322623226,42.841016246734135,1426563,33299
0.6,0.9,42.82262322623226,42.88931824454872,932328,21738
0.01,0.07,42.82262322623226,42.81575709099859,2783538,65012
0.06,0.07,42.82262322623226,42.84525374282692,2672944,62386
0.01,0.02,42.82262322623226,42.82570465314057,2819987,65848
0.05,0.05,42.82262322623226,42.826016927741286,2712086,63328
0.08,0.08,42.82262322623226,42.81569871482024,2631881,61470
0.3,0.6,42.82262322623226,42.863377563904045,1799276,41977
0.7,0.9,42.82262322623226,42.71022829408592,712791,16689
0.09,0.09,42.82262322623226,42.81784859242136,2593263,60565
0.2,0.8,42.82262322623226,42.88854531399209,1886324,43982
0.3,0.8,42.82262322623226,42.8954513897817,1668247,38891
0.01,0.04,42.82262322623226,42.82817890398413,2805674,65510
0.03,0.06,42.82262322623226,42.802491988924494,2751601,64286
0.06,0.06,42.82262322623226,42.79678495602062,2680919,62643
0.2,0.3,42.82262322623226,42.83416232889917,2221808,51870
0.7,0.7,42.82262322623226,42.85394888210874,856779,19993
