m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.7,0.7,1.552514769307734,7.500150002250029e-10,42.822623226232274,0.0857170437336407,0.0900877188150222
0.8,0.9,1.0624677946354186,1.1250225003375047e-09,42.822623226232274,0.1139636441642295,0.1451731088693858
0.8,0.8,1.884794340358692,1.1250225003375047e-09,42.822623226232274,0.1122236584194043,0.1208875367357118
0.9,0.9,2.4989739151834853,2.250045000675008e-09,42.822623226232274,0.169644725156208,
0.01,0.09,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.08,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.07,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.06,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.05,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.04,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.03,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.02,,2.2727727279545536e-10,42.822623226232274,,
0.01,0.01,0.7553154726696916,2.2727727279545536e-10,42.822623226232274,0.0070461432510293,0.0252078396896762
0.02,0.09,,2.295964286403071e-10,42.822623226232274,,
0.02,0.08,,2.295964286403071e-10,42.822623226232274,,
0.02,0.07,,2.295964286403071e-10,42.822623226232274,,
0.02,0.06,,2.295964286403071e-10,42.822623226232274,,
0.02,0.05,,2.295964286403071e-10,42.822623226232274,,
0.02,0.04,,2.295964286403071e-10,42.822623226232274,,
0.02,0.03,0.2568179161350286,2.295964286403071e-10,42.822623226232274,0.0155499044304788,0.0663926140093601
0.02,0.02,0.7607104661203109,2.295964286403071e-10,42.822623226232274,0.0096916618307901,0.0234031499241349
0.03,0.09,,2.3196340213144423e-10,42.822623226232274,,
0.03,0.08,,2.3196340213144423e-10,42.822623226232274,,
0.03,0.07,,2.3196340213144423e-10,42.822623226232274,,
0.03,0.06,,2.3196340213144423e-10,42.822623226232274,,
0.03,0.05,0.0875326907511077,2.3196340213144423e-10,42.822623226232274,0.0436233246718494,0.1995728275075524
0.03,0.04,0.4307651187245208,2.3196340213144423e-10,42.822623226232274,0.0134627167802072,0.0437880689049991
0.03,0.03,0.7661868389482067,2.3196340213144423e-10,42.822623226232274,0.0103387397755517,0.0247758986044161
0.04,0.09,,2.343796875703135e-10,42.822623226232274,,
0.04,0.08,,2.343796875703135e-10,42.822623226232274,,
0.04,0.07,,2.343796875703135e-10,42.822623226232274,,
0.04,0.06,0.2640203513916258,2.343796875703135e-10,42.822623226232274,0.0171831352983105,0.0702392341862506
0.04,0.05,0.5204973959612335,2.343796875703135e-10,42.822623226232274,0.0135145523655931,0.0369638022780071
0.04,0.04,0.7717465463666427,2.343796875703135e-10,42.822623226232274,0.0127272424088968,0.0280390176302513
0.05,0.09,,2.3684684217631674e-10,42.822623226232274,,
0.05,0.08,0.16203957645189,2.3684684217631674e-10,42.822623226232274,0.0247257229732627,0.1160945052569454
0.05,0.07,0.3719843359147282,2.3684684217631674e-10,42.822623226232274,0.0160060305870257,0.0514261252215552
0.05,0.06,0.576645047658074,2.3684684217631674e-10,42.822623226232274,0.0144675951962643,0.0337415866810535
0.05,0.05,0.7773915756736958,2.3684684217631674e-10,42.822623226232274,0.0125731708586498,0.0265848302024621
0.06,0.09,0.2716409783066775,2.393664894335116e-10,42.822623226232274,0.0197195791533265,0.0703941397788325
0.06,0.08,0.4458673922789825,2.393664894335116e-10,42.822623226232274,0.0164605868265574,0.0439671836315189
0.06,0.07,0.6160581545652525,2.393664894335116e-10,42.822623226232274,0.0146618728695502,0.031210707436125
0.06,0.06,0.783124016068396,2.393664894335116e-10,42.822623226232274,0.014634537249253,0.0262915651591659
0.07,0.09,0.5003605707796762,2.4194032265322666e-10,42.822623226232274,0.0165843437992627,0.0415597914909484
0.07,0.08,0.6459533218159645,2.4194032265322666e-10,42.822623226232274,0.0163074145607952,0.0314060006031498
0.07,0.07,0.7889460023502431,2.4194032265322666e-10,42.822623226232274,0.0162544475628725,0.028990328663289
0.08,0.09,0.669938134530595,2.4457010876902273e-10,42.822623226232274,0.0174882189055382,0.0310946132557896
0.08,0.08,0.7948597472093031,2.4457010876902273e-10,42.822623226232274,0.016918042227646,0.0278602531735254
0.09,0.09,0.8008675490089837,2.4725769238186914e-10,42.822623226232274,0.0174587519843531,0.0300191145015571
