m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements
0.6,0.7,4.165871658716587,4.1815400716499616,103882,24843
0.3,0.9,4.165871658716587,4.147705899116557,145543,35090
0.1,0.2,4.165871658716587,4.167719829886878,242057,58079
0.1,0.8,4.165871658716587,4.166967005620629,194239,46614
0.3,0.5,4.165871658716587,4.154349095154699,177910,42825
0.04,0.07,4.165871658716587,4.166524943310658,264591,63504
0.04,0.05,4.165871658716587,4.1648723614310565,265773,63813
0.4,0.8,4.165871658716587,4.1852356897139495,135045,32267
0.3,0.4,4.165871658716587,4.155476795506219,186423,44862
0.9,0.9,4.165871658716587,4.158823529411765,27573,6630
0.5,0.7,4.165871658716587,4.175430242840623,122766,29402
0.1,0.3,4.165871658716587,4.159534180816072,233953,56245
0.06,0.08,4.165871658716587,4.162266147261097,259638,62379
0.01,0.05,4.165871658716587,4.16479406489983,271707,65239
0.05,0.06,4.165871658716587,4.165261676182643,263357,63227
0.04,0.06,4.165871658716587,4.1619943082655935,264707,63601
0.01,0.06,4.165871658716587,4.167286759731874,271057,65044
0.5,0.6,4.165871658716587,4.155176759720209,131877,31738
0.02,0.07,4.165871658716587,4.165256741206108,267851,64306
0.2,0.2,4.165871658716587,4.163735995646218,221873,53287
0.4,0.7,4.165871658716587,4.163758738228667,144141,34618
0.1,0.1,4.165871658716587,4.165448904013612,249702,59946
0.01,0.09,4.165871658716587,4.164964272982314,268711,64517
0.4,0.4,4.165871658716587,4.156748911465892,166112,39962
0.01,0.01,4.165871658716587,4.165100488041468,274805,65978
0.6,0.8,4.165871658716587,4.161523775695955,93730,22523
0.03,0.08,4.165871658716587,4.165033603416871,265246,63684
0.08,0.09,4.165871658716587,4.166941554942273,255171,61237
0.01,0.03,4.165871658716587,4.166575200463429,273319,65598
0.03,0.04,4.165871658716587,4.164634807528464,268848,64555
0.03,0.09,4.165871658716587,4.167533917089812,265101,63611
0.2,0.5,4.165871658716587,4.180205278592376,199563,47740
0.8,0.8,4.165871658716587,4.13752808988764,55236,13350
0.03,0.07,4.165871658716587,4.1685034439574205,266284,63880
0.3,0.3,4.165871658716587,4.172986846326596,195108,46755
0.1,0.9,4.165871658716587,4.160051730288976,186570,44848
0.4,0.9,4.165871658716587,4.172857656244895,127727,30609
0.02,0.05,4.165871658716587,4.163821157019695,269978,64839
0.02,0.06,4.165871658716587,4.16610857904691,268739,64506
0.2,0.7,4.165871658716587,4.1690047674445125,182765,43839
0.07,0.09,4.165871658716587,4.165587419056429,256671,61617
0.02,0.08,4.165871658716587,4.162177730726118,267345,64232
0.02,0.03,4.165871658716587,4.1650960771072505,271381,65156
0.01,0.08,4.165871658716587,4.166584357059078,269978,64796
0.02,0.02,4.165871658716587,4.165067884397315,271804,65258
0.05,0.09,4.165871658716587,4.168418022167843,260622,62523
0.07,0.07,4.165871658716587,4.165615879516906,258339,62017
0.2,0.6,4.165871658716587,4.167246015609628,190614,45741
0.5,0.8,4.165871658716587,4.178871854630203,114756,27461
0.5,0.5,4.165871658716587,4.168650375146895,138345,33187
0.6,0.9,4.165871658716587,4.154130288784419,86597,20846
0.01,0.07,4.165871658716587,4.167656083758654,270285,64853
0.06,0.07,4.165871658716587,4.168546888019999,260134,62404
0.01,0.02,4.165871658716587,4.165093837854267,274084,65805
0.05,0.05,4.165871658716587,4.163769282996227,263704,63333
0.08,0.08,4.165871658716587,4.162934085830329,255217,61307
0.3,0.6,4.165871658716587,4.160657256393379,170666,41019
0.7,0.9,4.165871658716587,4.157254347692497,67651,16273
0.09,0.09,4.165871658716587,4.161779258477372,252337,60632
0.2,0.8,4.165871658716587,4.169024129323666,175370,42065
0.3,0.8,4.165871658716587,4.157955740046901,154256,37099
0.01,0.04,4.165871658716587,4.162712900022913,272512,65465
0.03,0.06,4.165871658716587,4.164824715913519,267186,64153
0.06,0.06,4.165871658716587,4.1637918631604185,260466,62555
0.2,0.3,4.165871658716587,4.17624997570976,214914,51461
0.7,0.7,4.165871658716587,4.143043434647407,82604,19938
0.2,0.4,4.165871658716587,4.1515047810770005,206226,49675
0.3,0.7,4.165871658716587,4.15962453257358,163519,39311
