m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.01,0.02,2.2275445506682583e-10,1.9872769935436303,-0.003851902029626,-0.0010260809637111,-0.0054422376067406,-0.0092742183589781
0.01,0.01,2.2275445506682583e-10,0.9936587309970014,-0.0030154118432071,-0.0003880004467081,-0.0026828663032825,-0.0005947903994222
0.02,0.09,2.2050441006615078e-10,4.44142674425474,-0.0069405675896832,-0.0033995228135268,-0.0097061976298767,-0.0168275086611618
0.02,0.08,2.2050441006615078e-10,3.948106899758264,-0.0075116611953024,-0.0032580008017796,-0.0102069548663275,-0.0165044853255878
0.02,0.07,2.2050441006615078e-10,3.45474272674189,-0.0064993866975643,-0.0040926581056646,-0.0089957480441188,-0.0164494881583013
0.02,0.06,2.2050441006615078e-10,2.96133480964445,-0.0070223454935491,-0.0020278410249069,-0.0091935776434372,-0.0127845280445312
0.02,0.05,2.2050441006615078e-10,2.46788372142234,-0.0064184162124112,-0.0015554823441136,-0.0080480467655842,-0.0127391774962309
0.02,0.04,2.2050441006615078e-10,1.9743900238483445,-0.0064095184593101,-0.0031300734069851,-0.0079371711676881,-0.0117750804245765
0.02,0.03,2.2050441006615078e-10,1.480854267800831,-0.0048751674621968,-0.0023199032678928,-0.0058771711505927,-0.0078189086182661
0.02,0.02,2.2050441006615078e-10,0.9872769935436306,-0.0055209761020344,-0.0026432862837824,-0.0055053754729211,-0.0022016540664421
0.03,0.09,2.1825436506547587e-10,2.941426744254741,-0.0082035837792915,-0.0045999463042418,-0.0102638903175158,-0.0157577252759097
0.03,0.08,2.1825436506547587e-10,2.614773566424929,-0.0090871658637673,-0.0038297592624963,-0.0113320058812422,-0.0151089579130628
0.03,0.07,2.1825436506547587e-10,2.288076060075222,-0.0075899563385194,-0.0041924386794807,-0.0095479902546217,-0.0143374358559105
0.03,0.06,2.1825436506547587e-10,1.9613348096444505,-0.0074487596789227,-0.0016516305435081,-0.0091714893526911,-0.0114228491332302
0.03,0.05,2.1825436506547587e-10,1.6345503880890069,-0.0073920100211305,-0.0030230786285806,-0.0086009480120818,-0.0103276749983158
0.03,0.04,2.1825436506547587e-10,1.3077233571816786,-0.0079360566611281,-0.0016963992833703,-0.0084837786933774,-0.0053594581136814
0.03,0.03,2.1825436506547587e-10,0.9808542678008312,-0.006866426854055,-0.0021192814328458,-0.0068125446234418,-0.0012888822943226
0.04,0.09,2.1600432006480083e-10,2.191426744254741,-0.0095026215444687,-0.0054248165050799,-0.0113679997202132,-0.0144020619070852
0.04,0.08,2.1600432006480083e-10,1.948106899758262,-0.0089781605151612,-0.0045313122582344,-0.0106793783563053,-0.0122854059290715
0.04,0.07,2.1600432006480083e-10,1.7047427267418878,-0.0096687246041265,-0.0041590871831594,-0.0109595585310889,-0.0116136609361657
0.04,0.06,2.1600432006480083e-10,1.4613348096444505,-0.0085446902621541,-0.0038675356734827,-0.0094529068103981,-0.0093954430284557
0.04,0.05,2.1600432006480083e-10,1.2178837214223397,-0.0080469046986829,-0.0031332786923039,-0.008592500816186,-0.0061361040256171
0.04,0.04,2.1600432006480083e-10,0.9743900238483448,-0.0082151196436572,-0.0040284110360234,-0.0085623816134866,-0.0043541239456602
0.05,0.09,2.1375427506412576e-10,1.7414267442547409,-0.0107127711614962,-0.0053583033186319,-0.0119165998913066,-0.0120250205551662
0.05,0.08,2.1375427506412576e-10,1.5481068997582628,-0.0091716962760097,-0.0055739538121308,-0.0099742857876134,-0.0097780910277437
0.05,0.07,2.1375427506412576e-10,1.354742726741889,-0.0100227621743276,-0.0058148793159966,-0.0107683130475821,-0.0095040696253333
0.05,0.06,2.1375427506412576e-10,1.161334809644451,-0.01015822168265,-0.0042349299162192,-0.0107669741506605,-0.0065302997310254
0.05,0.05,2.1375427506412576e-10,0.9678837214223396,-0.0091627450805844,-0.0048338746798752,-0.0092759307490459,-0.0036515581916603
0.06,0.09,2.115042300634508e-10,1.441426744254741,-0.0117752948408501,-0.0048478288374061,-0.0125626253710054,-0.0105859526326241
0.06,0.08,2.115042300634508e-10,1.2814402330915955,-0.0109623613241177,-0.0048916846481433,-0.0118199699420521,-0.0089890862355663
0.06,0.07,2.115042300634508e-10,1.1214093934085554,-0.0106901322498619,-0.0057686130766726,-0.0109896442038786,-0.0070602324775914
0.06,0.06,2.115042300634508e-10,0.9613348096444502,-0.0106852760463211,-0.0055162984376767,-0.0108692816313554,-0.0043728128495509
0.07,0.09,2.0925418506277583e-10,1.2271410299690262,-0.0123400037316208,-0.0072778535777102,-0.0126588855506784,-0.0108199192607547
0.07,0.08,2.0925418506277583e-10,1.0909640426154046,-0.0125369680691727,-0.0072811468319403,-0.0127399525813534,-0.0080832063158647
0.07,0.07,2.0925418506277583e-10,0.9547427267418882,-0.0123059771114144,-0.0062892789625426,-0.0121123659668274,-0.0056548779764071
0.08,0.09,2.0700414006210086e-10,1.066426744254741,-0.0137743223135852,-0.0071220453039153,-0.0141141425769184,-0.0083381300111552
0.08,0.08,2.0700414006210086e-10,0.9481068997582622,-0.012571951001905,-0.0052853798170588,-0.0125207920744521,-0.0055581107202351
0.09,0.09,2.0475409506142587e-10,0.9414267442547412,-0.0138684763954174,-0.0079620959325752,-0.0137278483411696,-0.0072904696576233
