m,M,epsilon_of_M,delta_of_M,original_average,difference_laplace_suppression,difference_gaussian_suppression
0.03,0.05,2.0,2.2500450006750092e-10,4.165871658716587,0.0001796488210235,
0.03,0.04,2.0,2.2500450006750092e-10,4.165871658716587,0.0001515465966455,
0.03,0.03,2.0,2.2500450006750092e-10,4.165871658716587,0.0001644558413244,
0.04,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.0001628934919646,
0.04,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001570965690999,
0.04,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001572161588208,
0.04,0.06,2.0,2.2500450006750092e-10,4.165871658716587,0.0001561780999994,
0.04,0.05,2.0,2.2500450006750092e-10,4.165871658716587,0.0001533663554683,
0.04,0.04,2.0,2.2500450006750092e-10,4.165871658716587,0.000142869365445,
0.05,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.0001510946458132,
0.05,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.000150433068575,
0.05,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001570697598765,
0.05,0.06,2.0,2.2500450006750092e-10,4.165871658716587,0.0001550104562915,
0.05,0.05,2.0,2.2500450006750092e-10,4.165871658716587,0.0001528592579921,
0.06,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.000154411064582,
0.06,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001532041293321,
0.06,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001484269131492,
0.06,0.06,2.0,2.2500450006750092e-10,4.165871658716587,0.0001611001874623,
0.07,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.000164641170715,
0.07,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001519209254703,
0.07,0.07,2.0,2.2500450006750092e-10,4.165871658716587,0.0001465617065621,
0.08,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.0001587181497341,
0.08,0.08,2.0,2.2500450006750092e-10,4.165871658716587,0.0001608818229155,
0.09,0.09,2.0,2.2500450006750092e-10,4.165871658716587,0.0001474691094183,
