m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.02,0.05,2.2050441006615078e-10,1.9801304341088264,-0.0008883168690233,-0.0002121343513421,-0.0013198680477972,-0.0026103618961975
0.02,0.04,2.2050441006615078e-10,1.484136056810195,-0.0007962121991724,-0.0003384999347051,-0.0012369129716312,-0.0024805648327035
0.02,0.03,2.2050441006615078e-10,0.9881256984909932,-0.0007101815577073,-0.0003834353988575,-0.0010423068823697,-0.0017203925017528
0.02,0.02,2.2050441006615078e-10,0.4920994861619237,-0.0006304028457315,-6.670391770899863e-06,-0.000642796571202,0.0002112414944253
0.03,0.09,2.1825436506547587e-10,2.4639455387257923,-0.0012194192254287,-0.0005944660991908,-0.0017052375159252,-0.0031007717620453
0.03,0.08,2.1825436506547587e-10,2.1346830533057184,-0.0012692815042884,-0.000654253150333,-0.0017649625181809,-0.0029927967377701
0.03,0.07,2.1825436506547587e-10,1.8054040632480823,-0.00110561057131,-0.0005716484109583,-0.0015600636722135,-0.0028585184085566
0.03,0.06,2.1825436506547587e-10,1.476108701843772,-0.0010088754873269,-0.0005658618705661,-0.0014448522164567,-0.0027070291487446
0.03,0.05,2.1825436506547587e-10,1.1467971007754936,-0.0010298089555932,-0.0001060914859093,-0.0014083382203462,-0.0019049568604682
0.03,0.04,2.1825436506547587e-10,0.8174693901435289,-0.0010539113584831,-0.000683308261135,-0.001290775200065,-0.0016832026728552
0.03,0.03,2.1825436506547587e-10,0.4881256984909938,-0.0009165600708145,-0.0004196139722246,-0.0008751727024628,-0.00029328556998
0.04,0.09,2.1600432006480083e-10,1.7139455387257918,-0.0014615388009799,-0.0006868876995343,-0.0018628557662287,-0.0030210363732865
0.04,0.08,2.1600432006480083e-10,1.4680163866390523,-0.0014437494953646,-0.0007965525594267,-0.001825253174536,-0.0029064580862721
0.04,0.07,2.1600432006480083e-10,1.2220707299147484,-0.0013034192203001,-0.0006678803715517,-0.0016707882992508,-0.0024275354772245
0.04,0.06,2.1600432006480083e-10,0.9761087018437724,-0.001285331916378,-0.0008496818133023,-0.0015623357507016,-0.002274758643697
0.04,0.05,2.1600432006480083e-10,0.7301304341088268,-0.0011946048281474,-0.0005432999711189,-0.0013833189340683,-0.0015577550295006
0.04,0.04,2.1600432006480083e-10,0.4841360568101951,-0.0011036459949565,-0.0007092090383659,-0.0011169233115713,-0.0003081818621214
0.05,0.09,2.1375427506412576e-10,1.263945538725791,-0.0014425230237897,-0.0007393977050422,-0.0018042251937951,-0.002649052390023
0.05,0.08,2.1375427506412576e-10,1.0680163866390515,-0.0014741855280192,-0.0005591614144196,-0.001808783879801,-0.0022216104715364
0.05,0.07,2.1375427506412576e-10,0.8720707299147487,-0.0015575742708443,-0.0005615859809099,-0.001820213365803,-0.0018485917285978
0.05,0.06,2.1375427506412576e-10,0.6761087018437724,-0.0012632767102155,-0.0006105031582452,-0.0014498476411996,-0.0013629314774777
0.05,0.05,2.1375427506412576e-10,0.4801304341088268,-0.001334095516775,-0.0003807763295751,-0.0012707643342789,-0.0002670348515917
0.06,0.09,2.115042300634508e-10,0.9639455387257914,-0.0015315038390524,-0.0005589335805326,-0.001859957008961,-0.0020329639561486
0.06,0.08,2.115042300634508e-10,0.8013497199723856,-0.0016561942291123,-0.0009811202087334,-0.0018675243846834,-0.0021096569946903
0.06,0.07,2.115042300634508e-10,0.6387373965814154,-0.0015601680023872,-0.0005910907248285,-0.0017282296646491,-0.0014036017269266
0.06,0.06,2.115042300634508e-10,0.4761087018437724,-0.0014875097838249,-0.0005600976096404,-0.001415334305047,-0.0003789886054644
0.07,0.09,2.0925418506277583e-10,0.7496598244400766,-0.0018305721411629,-0.0010584376683917,-0.0020387304305966,-0.0022262586140373
0.07,0.08,2.0925418506277583e-10,0.6108735294961944,-0.0017716359727851,-0.0007116958561202,-0.0018962319849805,-0.0013954045224487
0.07,0.07,2.0925418506277583e-10,0.4720707299147485,-0.0016491036120934,-0.0006486877440981,-0.0016185341885785,-0.0006653236771066
0.08,0.09,2.0700414006210086e-10,0.588945538725791,-0.0018700148631854,-0.0012292068173075,-0.001948444873592,-0.0016032163643678
0.08,0.08,2.0700414006210086e-10,0.4680163866390518,-0.0016856403757122,-0.0009507727091584,-0.0017084688441867,-0.0008495202546631
0.09,0.09,2.0475409506142587e-10,0.4639455387257911,-0.0020971176261089,-0.0009591139787872,-0.0020653280510939,-0.0006987513674978
