m,M,delta_suppression,epsilon_suppression,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.7,0.8,2.982080677210641e-07,0.6073740195087886,139.88104711199523,119.54886147346863,0.9561404924097334,0.8965665711684362,1.0650161856856406,0.9858517991480096
0.7,0.7,2.982080677210641e-07,0.4157352218436286,139.88104711199523,119.54886147346863,1.2991147306139812,1.3056650348979548,1.3969321576484777,1.388483627138837
0.8,0.9,1.9880537848070934e-07,0.7293182678690189,139.88104711199523,119.54886147346863,0.7059468088531804,0.7692051552660518,0.8291535172431262,0.8882730208642073
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,139.88104711199523,119.54886147346863,1.8839817752794603,1.75080980514133,1.9357011695504232,1.8173600524292568
0.9,0.9,9.94026892403547e-08,0.1585650787404291,139.88104711199523,119.54886147346863,3.318562307519135,3.339174026123109,3.3336223160990994,3.3606634667446587
0.01,0.09,9.840866234795116e-07,8.941426744254743,139.88104711199523,119.54886147346863,0.0604793921416859,0.0583414669688491,0.4719127355423601,0.4713466987500217
0.01,0.08,9.840866234795116e-07,7.94810689975826,139.88104711199523,119.54886147346863,0.0697104411056159,0.0696327482419423,0.472063250285981,0.4695539661258722
0.01,0.07,9.840866234795116e-07,6.954742726741888,139.88104711199523,119.54886147346863,0.0794964931955786,0.0770955040477599,0.4714216447145976,0.4719305272866967
0.01,0.06,9.840866234795116e-07,5.96133480964445,139.88104711199523,119.54886147346863,0.0969498560856816,0.0894340050153188,0.4715769865355375,0.4736627637978171
0.01,0.05,9.840866234795116e-07,4.967883721422339,139.88104711199523,119.54886147346863,0.1088523102290629,0.1071833561598916,0.4769537108062782,0.4726029224594629
0.01,0.04,9.840866234795116e-07,3.974390023848344,139.88104711199523,119.54886147346863,0.1318658781426702,0.1394155256301091,0.4788791661460228,0.4884267545281717
0.01,0.03,9.840866234795116e-07,2.9808542678008307,139.88104711199523,119.54886147346863,0.1745794196669458,0.1776546734809309,0.4931925176800688,0.4921775653969648
0.01,0.02,9.840866234795116e-07,1.9872769935436303,139.88104711199523,119.54886147346863,0.2693431472316722,0.2668696260244222,0.5313553369709019,0.5363628474091905
0.01,0.01,9.840866234795116e-07,0.9936587309970014,139.88104711199523,119.54886147346863,0.5557012921214246,0.5256487747141334,0.7224088342631496,0.7110787363512172
0.02,0.09,9.741463545554763e-07,4.44142674425474,139.88104711199523,119.54886147346863,0.118434798549176,0.1236370808518642,0.481549695058602,0.4773860540667566
0.02,0.08,9.741463545554763e-07,3.948106899758264,139.88104711199523,119.54886147346863,0.1316167828952739,0.1408616995776067,0.4814234350245396,0.4922752676417687
0.02,0.07,9.741463545554763e-07,3.45474272674189,139.88104711199523,119.54886147346863,0.158171578957754,0.1551753399723971,0.4922740270971599,0.4959561769525583
0.02,0.06,9.741463545554763e-07,2.96133480964445,139.88104711199523,119.54886147346863,0.1809674701897183,0.1799329875646228,0.5006132907026914,0.4890598344560143
0.02,0.05,9.741463545554763e-07,2.46788372142234,139.88104711199523,119.54886147346863,0.2263780960924005,0.2310379699510701,0.5103060791930406,0.5163364538864613
0.02,0.04,9.741463545554763e-07,1.9743900238483445,139.88104711199523,119.54886147346863,0.2655791164439774,0.2835055183804775,0.5328245619102447,0.5289929002819511
0.02,0.03,9.741463545554763e-07,1.480854267800831,139.88104711199523,119.54886147346863,0.3560838881454199,0.3736258650733653,0.5682409646792239,0.5865658364412732
0.02,0.02,9.741463545554763e-07,0.9872769935436306,139.88104711199523,119.54886147346863,0.5495321999729295,0.5626724719592874,0.7183490552624141,0.7060184476439844
