m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.5,0.6,4.970134462017736e-07,0.7441312242084209,-0.4520697046195126,-0.4565108967733697,-0.3394861530466785,-0.3362952645528214,-0.3981593519427496,-0.4285279900472802,-0.3065155492100551,-0.3488813661923732
0.5,0.5,4.970134462017736e-07,0.6201145069582774,-0.4909092763049444,-0.4592066198500347,-0.2547573665210756,-0.2064055391800543,-0.4287580477533974,-0.3934045896473776,-0.2338261367737265,-0.1617907071930088
0.6,0.9,3.976107569614187e-07,1.8573740195087889,-0.8522767000310087,-0.7989067249566167,-1.0317398622286924,-0.98077548140108,-0.7716561981796483,-0.7396026634944246,-0.891838269402295,-0.8715156715871248
0.6,0.8,3.976107569614187e-07,0.916833220754278,-0.7505490303267277,-0.7231287060618188,-0.6915463259092163,-0.7034395078252696,-0.7100211491117248,-0.6622825929414984,-0.6432915535431148,-0.6621994030636352
0.6,0.7,3.976107569614187e-07,0.6491258279171362,-0.69624620820403,-0.741569118732498,-0.4721270467483083,-0.5017771184513033,-0.619537988626672,-0.7008912648590024,-0.4346495207668203,-0.4892618121468918
0.6,0.6,3.976107569614187e-07,0.5231371636115855,-0.7042583526528821,-0.6791916564151173,-0.3548079742827716,-0.339192861923307,-0.6429429345756827,-0.6247807671911083,-0.3534992010266741,-0.338435927175857
0.7,0.9,2.982080677210641e-07,1.2953945291203477,-1.1895388178526396,-1.1843495198909328,-1.2572959043024043,-1.2673034205790483,-1.1217047084495038,-1.1136652660037845,-1.156970526086291,-1.184362779537542
0.7,0.8,2.982080677210641e-07,0.6073740195087886,-1.0769222981216269,-1.1669783810730927,-0.846415450718632,-0.8824848743375359,-0.9903559087129432,-1.10424585258029,-0.7915330924316546,-0.8497818629979924
0.7,0.7,2.982080677210641e-07,0.4157352218436286,-0.9979295323427796,-0.9433513068547936,-0.4248305603029115,-0.3824203295802404,-0.9277336710137664,-0.8786017642811881,-0.4061085693258246,-0.3470526110299849
0.8,0.9,1.9880537848070934e-07,0.7293182678690189,-1.8675975497190191,-1.884744754360667,-1.7419628317297664,-1.7170638996511305,-1.7978405423001478,-1.7943334803858868,-1.6681709158920404,-1.646451330866422
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,-1.8236411319558687,-1.6753348329333004,-0.8232214052073445,-0.7406260870016645,-1.7339141896246342,-1.6052784397446,-0.8167546581780907,-0.7399642698606292
0.9,0.9,9.94026892403547e-08,0.1585650787404291,-3.610119166784577,-3.6830438186108982,-1.5223717286154392,-1.8238751506879587,-3.509360160098705,-3.6139177900923305,-1.497663049676946,-1.8411302060862216
0.01,0.09,9.840866234795116e-07,8.941426744254743,-0.0560614586804817,0.0010705986417258,-0.369013276649286,-0.3369989537308296,-0.0386190008181813,0.0014413103557142,-0.2062758771322195,-0.1772569382507984
0.01,0.08,9.840866234795116e-07,7.94810689975826,-0.031646650778884,-0.006202435295061,-0.3552156803920518,-0.3528607507430334,-0.0239554447015348,-0.0178263889010941,-0.1976313547363037,-0.2055738983475056
0.01,0.07,9.840866234795116e-07,6.954742726741888,-0.0277974881450183,-0.0329853931745059,-0.3534933630120505,-0.3587415996533749,-0.0305080601815577,-0.0189820872844039,-0.1962435278991143,-0.1950792578171253
0.01,0.06,9.840866234795116e-07,5.96133480964445,-0.015325980414596,-0.0368051610915731,-0.3335310797958293,-0.3480062432739146,-0.032417883890855,-0.0162825123476904,-0.1962232600334104,-0.194829055527493
0.01,0.05,9.840866234795116e-07,4.967883721422339,0.0009606961272315,-0.012789407938574,-0.3138631801486686,-0.3124208767347398,-0.0126505400808501,-0.0323003439478394,-0.2007700174837481,-0.1812077847385553
0.01,0.04,9.840866234795116e-07,3.974390023848344,0.0092181721785706,-0.0062586702931061,-0.2948042460657297,-0.2841459147659448,0.0137965034114334,-0.0027823022712336,-0.1759811267352682,-0.1735223053552652
0.01,0.03,9.840866234795116e-07,2.9808542678008307,-0.0185233019436824,-0.0352783953796465,-0.2737634865941123,-0.2735024708848567,-0.0123747195011876,-0.0146923554503706,-0.1879350038528199,-0.1700618516201329
0.01,0.02,9.840866234795116e-07,1.9872769935436303,0.0161316382095145,-0.0457546385804127,-0.2013403365175591,-0.2081456953862064,0.0137244716867294,-0.0371333290008041,-0.143901966326537,-0.1578515338702275
0.01,0.01,9.840866234795116e-07,0.9936587309970014,-0.0312078267845727,-0.008474648677629,-0.0155259231356176,-0.0297739990937059,-0.0417844215345032,-0.0170044318043017,-0.0065356566009762,-0.0151342254534166
0.02,0.09,9.741463545554763e-07,4.44142674425474,-0.0111452924715126,-0.0354412433411316,-0.3241933728849248,-0.3461993882068581,-0.0234650261128622,-0.0253626962040712,-0.2054405717105789,-0.2206974820914686
0.02,0.08,9.741463545554763e-07,3.948106899758264,-0.0204921159498809,0.0070433832755733,-0.2951353236059363,-0.2931510495994743,-0.0130686142769069,0.0020151507312604,-0.172598647107199,-0.174377091733538
0.02,0.07,9.741463545554763e-07,3.45474272674189,-0.0297660300483728,0.0192765335793883,-0.2997875943132631,-0.2668172044481092,-0.0276416036636359,0.0100043845791363,-0.1992478235833268,-0.1757504671106881
0.02,0.06,9.741463545554763e-07,2.96133480964445,-0.0088331159503129,0.0068178665584813,-0.2637467783043306,-0.2404083530646339,-0.010224376452084,0.0085890533396232,-0.1689068084766579,-0.1379814855302887
0.02,0.05,9.741463545554763e-07,2.46788372142234,0.0111909675070315,-0.0010999011743834,-0.2305381667565656,-0.2620499100146187,0.0109249229983433,-0.0059970839698953,-0.1592604200593337,-0.185508260760413
0.02,0.04,9.741463545554763e-07,1.9743900238483445,-0.0144567407453435,-0.0256025438670505,-0.212868596137895,-0.1947099948286121,-0.0144361600848071,-0.022812446718984,-0.1624898916205956,-0.1353321607310141
0.02,0.03,9.741463545554763e-07,1.480854267800831,0.0022545843467672,-0.0383379785763042,-0.1333927684603046,-0.1389862174981426,-0.008520505776397,-0.0447838442441154,-0.1130689765424783,-0.1099196335220083
0.02,0.02,9.741463545554763e-07,0.9872769935436306,-0.0264043226070211,-0.0257462281846685,-0.0201226319690696,-0.0054763461277,-0.0328721530187392,-0.0368916792097802,-0.0187332900628284,-0.0042964161328455
0.03,0.09,9.642060856314406e-07,2.941426744254741,-0.0265093605561126,-0.0310603673827498,-0.2651332948409941,-0.2800238703822107,-0.0210443681205592,-0.0402879429459793,-0.1801430515399275,-0.1864962789331794
0.03,0.08,9.642060856314406e-07,2.614773566424929,0.0150206078826078,-0.0191620730755596,-0.2399516896026197,-0.2559632588112129,0.0094127627902951,-0.0043307069689623,-0.1730958650540157,-0.1676015836073344
0.03,0.07,9.642060856314406e-07,2.288076060075222,-0.0051414678658044,-0.008563209355233,-0.2515113989361198,-0.2235770606996863,-0.0282639436296603,-0.0054702528879477,-0.1989089357579483,-0.1576692610527673
0.03,0.06,9.642060856314406e-07,1.9613348096444505,-0.0208616621388748,-0.014747169727878,-0.2090799769970275,-0.1924462962514629,-0.0069627875484774,-0.0126635986093525,-0.1333334805882565,-0.1457407329276588
0.03,0.05,9.642060856314406e-07,1.6345503880890069,-0.0269632034809665,-0.0158419659706068,-0.1945200116975117,-0.1717398056814198,-0.0218646440280186,-0.0333800760294474,-0.155192934949631,-0.1435104432836891
0.03,0.04,9.642060856314406e-07,1.3077233571816786,0.009303693419686,-0.036757603603669,-0.1099336106558674,-0.0980549295937315,0.0113719823906419,-0.0241895478179695,-0.069720916332495,-0.0820893756324471
0.03,0.03,9.642060856314406e-07,0.9808542678008312,0.0166229636223945,-0.0282607839542594,0.0038045061828071,-0.0388603310551989,0.0134855366700891,-0.0118713098721575,0.0067119150833014,-0.0251851978521185
0.04,0.09,9.542658167074057e-07,2.191426744254741,-0.0246403590722932,-0.0164514968423309,-0.2393344767359939,-0.2214333637552327,-0.0055875124900802,-0.0113384598406873,-0.1696957687494898,-0.1441864923171388
0.04,0.08,9.542658167074057e-07,1.948106899758262,-0.0361491778518592,-0.0285145633162131,-0.2290560141357398,-0.2100293516317865,-0.0303110500032173,-0.0333672354242566,-0.1799943609963664,-0.1583226026700326
0.04,0.07,9.542658167074057e-07,1.7047427267418878,-0.0263220645751516,-0.0202762753830896,-0.1866042425180969,-0.18380598622097,-0.0249865182027476,-0.0245543906587984,-0.1506523006055537,-0.1339746895720762
0.04,0.06,9.542658167074057e-07,1.4613348096444505,-0.0171694413543476,-0.0133196916464468,-0.1231043705449344,-0.1381769401443993,-0.0121996961638248,-0.0135494622348726,-0.1014859555361356,-0.1096730799936069
0.04,0.05,9.542658167074057e-07,1.2178837214223397,-0.0369272416528204,-0.0338923469957614,-0.1068816603594143,-0.0859001608173333,-0.0419379537354447,-0.0286963760376655,-0.0768679364622773,-0.0718911321502118
0.04,0.04,9.542658167074057e-07,0.9743900238483448,-0.0473844175993086,-0.0012663223650035,-0.0054959921240479,-0.0019125530081782,-0.0434458129288116,0.0161541856351568,-0.0035014514496268,-0.0135491307285087
0.05,0.09,9.4432554778337e-07,1.7414267442547409,-0.0449602634452382,-0.031358167805543,-0.2125761810540209,-0.1909088941318096,-0.0478592988766404,-0.0273684535751312,-0.1578762916018592,-0.14524795623606
0.05,0.08,9.4432554778337e-07,1.5481068997582628,-0.0440399040869788,-0.0202903375105409,-0.1739595846720561,-0.1770592794872969,-0.0436196492397955,-0.0142312561513853,-0.1249354996268151,-0.1524045271927159
0.05,0.07,9.4432554778337e-07,1.354742726741889,-0.030069088100824,0.0074688427906799,-0.1292826391457748,-0.1285537696437935,-0.0280778316052617,0.005562145135198,-0.0986799197880184,-0.1183678355812268
0.05,0.06,9.4432554778337e-07,1.161334809644451,-0.0382615604748025,-0.0389648835005133,-0.0687399809009469,-0.0870352775496782,-0.0363567145641318,-0.0413219372998285,-0.0452963468701285,-0.0603714359270555
0.05,0.05,9.4432554778337e-07,0.9678837214223396,-0.0369194420912922,-0.0333295171840657,-0.0159436644967724,-0.0296983085210824,-0.0303022392027696,-0.0375173168616561,-0.0310310582041952,-0.0306114717265918
0.06,0.09,9.343852788593344e-07,1.441426744254741,-0.0347740599657084,-0.0580113850777629,-0.138196330936856,-0.1672230318936784,-0.0138674763978848,-0.0670128551332666,-0.1041823022870747,-0.15195787075984
0.06,0.08,9.343852788593344e-07,1.2814402330915955,-0.0748533176955861,-0.0061011879430658,-0.1385342314936768,-0.1060051340535304,-0.0639173209407835,-0.0228353031501917,-0.0983519743099132,-0.0940641608212664
0.06,0.07,9.343852788593344e-07,1.1214093934085554,-0.0661507828350346,-0.0290065416241607,-0.0992735131633416,-0.0707725982336909,-0.0497665938507511,-0.0260287397960061,-0.0774058160051955,-0.0529110605569005
0.06,0.06,9.343852788593344e-07,0.9613348096444502,-0.0613039764454473,-0.0266200482257411,-0.0525093986395479,-0.0212919337084037,-0.0594024718023357,-0.0169082299657662,-0.038118198919469,-0.0215019277292806
0.07,0.09,9.244450099352984e-07,1.2271410299690262,-0.0636095093879026,-0.0430126572723471,-0.1133081653792534,-0.1181434408756682,-0.0595650178177494,-0.048879866162463,-0.1036139875313227,-0.0893298698784519
0.07,0.08,9.244450099352984e-07,1.0909640426154046,-0.0572517554001252,-0.0512549445631949,-0.0811634378477523,-0.074198273155102,-0.0503117814932914,-0.0499741099695117,-0.0605309156912878,-0.072510431114017
0.07,0.07,9.244450099352984e-07,0.9547427267418882,-0.0035976245906383,-0.0257770374548561,-0.0046912646872918,-0.0282500398321332,-0.0243212768934236,-0.0155226615755205,-0.0100953001115649,-0.0223221966396375
0.08,0.09,9.145047410112634e-07,1.066426744254741,-0.0458991126814412,-0.0326793903163769,-0.0788989073439462,-0.0839076702045351,-0.0472480072904668,-0.0335392278980473,-0.0692949838563103,-0.0730508750759806
0.08,0.08,9.145047410112634e-07,0.9481068997582622,-0.0701102754583946,-0.0443975648623599,-0.0629501983381033,-0.0086953051412552,-0.0501940550292071,-0.0158123470240139,-0.0412578116883128,0.002556208872674
0.09,0.09,9.045644720872276e-07,0.9414267442547412,-0.0604681469124613,-0.0504972767133986,-0.0231850497334012,-0.0377282284901882,-0.0583110036350422,-0.0352604077630006,-0.0169584569344994,-0.0270425320514656
