m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.2,0.7,7.952215139228375e-07,3.575836803801503,-0.2035105477579128,-0.2106643379425587,-0.3279019598507041,-0.3537512804238307,-0.1004833048818727,-0.1355011336780709,-0.1641395587793603,-0.1847240362978173
0.2,0.6,7.952215139228375e-07,3.268530136416276,-0.2086477227352982,-0.2343573525755004,-0.3052754820600536,-0.3280151090478921,-0.1128309594389527,-0.1304939653223923,-0.1558512932857793,-0.1657140186461908
0.2,0.5,7.952215139228375e-07,2.933780830483028,-0.1682167673594581,-0.1717848127000577,-0.2664813047475486,-0.2593838054827213,-0.0867183483409764,-0.0987810400149425,-0.1184271952163651,-0.1297698971674636
0.2,0.4,7.952215139228375e-07,2.575557117651626,-0.200302526262433,-0.1644189569104248,-0.2710670299196491,-0.2380620979483315,-0.1170993546428332,-0.0783586626650894,-0.1532691034023066,-0.1137782221196284
0.2,0.3,7.952215139228375e-07,2.1997061793579644,-0.155510210604124,-0.168449883732806,-0.1846138468685353,-0.2027915178536813,-0.1041346620121672,-0.0837063857827606,-0.1238371089884707,-0.0907115736907479
0.2,0.2,7.952215139228375e-07,1.810130496971241,-0.1803936288461798,-0.1646754965198538,-0.1291712326936465,-0.1275984425903406,-0.0913011966036607,-0.1011785869540382,-0.0848021795674494,-0.0591578119924004
0.3,0.9,6.958188246824828e-07,4.282067215305558,-0.3563518825450854,-0.3297940361386781,-0.4953197827645402,-0.4730988565610436,-0.2210677363685096,-0.213882565233108,-0.2668949870954708,-0.2556207763706212
0.3,0.8,6.958188246824828e-07,2.877112002342761,-0.2892421224848683,-0.327663517049128,-0.3789490443029083,-0.4110305998195916,-0.1646005319635425,-0.221068694303074,-0.2016563202025367,-0.2540628311766565
0.3,0.7,6.958188246824828e-07,2.4985990964541287,-0.3082869499895748,-0.3092193913671493,-0.3568864034610106,-0.3600203293691667,-0.1864166074011863,-0.1866054248894854,-0.2005393486147318,-0.2146201636434308
0.3,0.6,6.958188246824828e-07,2.2850424732827324,-0.3008679609954663,-0.2732547250139883,-0.335417669360764,-0.3095535909116768,-0.1743651018408881,-0.1487094379711725,-0.1801830695793017,-0.1682112590759328
0.3,0.5,6.958188246824828e-07,2.101049174760391,-0.2702657264155738,-0.2885246629468401,-0.284274307336998,-0.3028411931304927,-0.1555745757598016,-0.1765958025732814,-0.1505176317719945,-0.1608153675442033
0.3,0.4,6.958188246824828e-07,1.9088904509849591,-0.2615202189587173,-0.2447429389243651,-0.2696511340951058,-0.2457925987417776,-0.1409467478063589,-0.1399031610501023,-0.1568635448687716,-0.1509029421196264
0.3,0.3,6.958188246824828e-07,1.699706179357965,-0.2648956121908399,-0.2481945993854669,-0.2363694610048784,-0.2143491472515957,-0.140525434133141,-0.143322655932131,-0.1199447175612071,-0.1411195532833078
0.4,0.9,5.964161354421282e-07,3.67439041890566,-0.4673273091076739,-0.4611215932745117,-0.5846973656400543,-0.5707558062177723,-0.3208357182804653,-0.3101827751329379,-0.3599210603831995,-0.3570966530831221
0.4,0.8,5.964161354421282e-07,2.3272746158824,-0.4183578799443174,-0.4282212235897635,-0.4620106780932549,-0.4708851885167486,-0.301325853288203,-0.2983538265531076,-0.3102216564061698,-0.3053321348281507
0.4,0.7,5.964161354421282e-07,1.9790049893762525,-0.3962647450229037,-0.4127292950986239,-0.3970261682382283,-0.4066130966731223,-0.2314163273397472,-0.2297424438286917,-0.2582611207411149,-0.2244462530274357
0.4,0.6,5.964161354421282e-07,1.8136258392169444,-0.384535095689939,-0.4048153400681943,-0.3528915037707277,-0.3722090405062922,-0.2743340022216173,-0.2641651996882352,-0.2568847735471279,-0.2482098668698207
