m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.3,0.5,0.1602532415164581,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0034883388741172,-0.0122339558455447,-0.0384502849362874,-0.1519396838476319,0.0200766792962966,0.0360503960699223,-0.0034660642211722,-0.0122250862369088,0.0200803640802115,0.0360762151065077,0.0200803640802115,0.0360762151065077
0.3,0.4,0.6213797386317867,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0030618266865605,-0.0126297463620271,-0.0060421204297399,-0.0208005354084853,-0.0008457717851853,-0.0102404100318906,-0.0030580328949358,-0.0126221917235919,-0.0008341780744276,-0.0102230017270066,-0.0008341780744276,-0.0102230017270066
0.3,0.3,0.9538617353634998,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0036316975920836,-0.0111698674585072,-0.0008944892247591,-0.0035568315184978,-0.0053202581992988,-0.0119673583264094,-0.0035724039547899,-0.011178542031235,-0.0053104295347144,-0.0119601016958571,-0.0053104295347144,-0.0119601016958571
0.4,0.9,,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0060901629655248,-0.0217172378911052,,,,,-0.0061004162393179,-0.0216828938909474,,,,
0.4,0.8,,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0063123937546478,-0.0231214462597498,,,,,-0.0063324804546839,-0.0231100998527889,,,,
0.4,0.7,,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0051289579027576,-0.021924096818758,,,,,-0.0050884532516745,-0.0219139497607789,,,,
0.4,0.6,0.5266041229989408,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0058965979167227,-0.0218619359216331,-0.0090764582578704,-0.0363430135940207,-0.0029287003747348,-0.0175357355401466,-0.0058882383715477,-0.0218581888587726,-0.0029277684219157,-0.0175487585103256,-0.0029277684219157,-0.0175487585103256
0.4,0.5,0.8305754872671981,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0052350354869622,-0.0198506950357217,-0.0040189953075693,-0.0149593673985813,-0.0058951872612386,-0.0206126173849069,-0.0052065626846386,-0.0198661335108458,-0.0058602647173703,-0.0205713223960146,-0.0058602647173703,-0.0205713223960146
0.4,0.4,1.0514042110176187,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.004903250985083,-0.0169217535543827,-0.001827507430205,-0.0030698264998758,-0.0063813864979971,-0.0201606041349134,-0.0048563289983665,-0.0169071859882664,-0.0063472660100719,-0.0201367870510366,-0.0063472660100719,-0.0201367870510366
0.5,0.9,,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0086841559289215,-0.0303675186420179,,,,,-0.0086914183280998,-0.0303754202025217,,,,
0.5,0.8,,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0087846712481015,-0.0299733319932376,,,,,-0.0087661372381742,-0.029920684906288,,,,
0.5,0.7,0.7193207640249707,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0083821968235921,-0.0307645617888538,-0.0081559380156766,-0.0301603174265646,-0.0082046645923169,-0.0299046258167749,-0.0083677388531144,-0.0307353366704663,-0.0081888994600766,-0.0298596033882775,-0.0081888994600766,-0.0298596033882775
0.5,0.6,1.0087843406163954,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.007718629196614,-0.0292900140657954,-0.0042942334160066,-0.0123816523233883,-0.0092032390524801,-0.0333843042493484,-0.0076749615083344,-0.0293051644269253,-0.0091543164167169,-0.0333767936147706,-0.0091543164167169,-0.0333767936147706
0.5,0.5,1.1737197670118975,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0077698978569327,-0.0253309236352147,-0.0031195335636233,-0.0067664173026616,-0.0101473448049368,-0.0294840361340753,-0.007766413483341,-0.0253048253635542,-0.0101201082622051,-0.0294508091248434,-0.0101201082622051,-0.0294508091248434
0.6,0.9,,2.485067231008867e-06,1.4136814440607743,1.4142135623730956,-0.0119105092191977,-0.0436080429733466,,,,,-0.0118850186382802,-0.0435990462092078,,,,
0.6,0.8,0.6583579414695853,2.485067231008867e-06,1.4136814440607743,1.4142135623730956,-0.0121533570407676,-0.0427262584559019,-0.0137957020985439,-0.0497663893685092,-0.0114168416280715,-0.0423061385584541,-0.0121511437655356,-0.0426600649048761,-0.0114455357310551,-0.0422460049914615,-0.0114455357310551,-0.0422460049914615
0.6,0.7,1.1673812931642664,2.485067231008867e-06,1.4136814440607743,1.4142135623730956,-0.0108007577064264,-0.0401378153890795,-0.0057479208820194,-0.0162189620305704,-0.0131183437523927,-0.0452118792954831,-0.0108049319435846,-0.0401385311959803,-0.0131040040525798,-0.0452382682429523,-0.0131040040525798,-0.0452382682429523
0.6,0.6,1.3330254357409743,2.485067231008867e-06,1.4136814440607743,1.4142135623730956,-0.0101565083845837,-0.0418720433919919,-0.0036101738627906,-0.0092266222710464,-0.013218655435821,-0.0464148030482455,-0.0101370843260624,-0.0418970648176273,-0.0131778211585109,-0.0464028226166184,-0.0131778211585109,-0.0464028226166184
0.7,0.9,,3.3134229746784887e-06,1.4136814440607743,1.4142135623730956,-0.0184833990463427,-0.0711295924196551,,,,,-0.0184249767197771,-0.0710929729257535,,,,
0.7,0.8,1.2795120173702066,3.3134229746784887e-06,1.4136814440607743,1.4142135623730956,-0.0170654789038606,-0.0657084491897482,-0.007866463838916,-0.0241434472769648,-0.0200140844203087,-0.0709044195728778,-0.0170576756834802,-0.0657275590245173,-0.0199753589415803,-0.0708955864951325,-0.0199753589415803,-0.0708955864951325
0.7,0.7,1.552514769307734,3.3134229746784887e-06,1.4136814440607743,1.4142135623730956,-0.0166187948217841,-0.0601797673891611,-0.0057039987273162,-0.0148856882150945,-0.0198488435912224,-0.065866508003566,-0.0165635148991643,-0.0601794350888122,-0.0198145739979844,-0.0658678234605413,-0.0198145739979844,-0.0658678234605413
0.8,0.9,1.0624677946354186,4.970134462017735e-06,1.4136814440607743,1.4142135623730956,-0.0319788076376895,-0.115638339619957,-0.0191672747820066,-0.0698737775635462,-0.0339758958553971,-0.1195447514851191,-0.0319963205048633,-0.1156411227086448,-0.0339735329009205,-0.1195337213006056,-0.0339735329009205,-0.1195337213006056
0.8,0.8,1.884794340358692,4.970134462017735e-06,1.4136814440607743,1.4142135623730956,-0.0273379119270302,-0.1033377248321733,-0.009648168225853,-0.023339039914574,-0.0313511886857022,-0.1100255027487674,-0.0273023072272413,-0.1033201151404327,-0.0313129005955919,-0.109978596032264,-0.0313129005955919,-0.109978596032264
0.9,0.9,2.4989739151834853,9.94026892403547e-06,1.4136814440607743,1.4142135623730956,-0.0587354315078856,-0.2460876322909145,-0.0170151606414203,,-0.0634063163601539,,-0.0587099263061756,-0.2460361605285517,-0.0633476089996331,,-0.0633476089996331,
0.01,0.09,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-6.808327296699973e-05,-0.0010634890695744,,,,,-7.18881925178003e-05,-0.0010367246622742,,,,
0.01,0.08,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.000428704879733,-0.0003502940790012,,,,,-0.0004568369759426,-0.0003690587171252,,,,
0.01,0.07,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-6.517420207880018e-05,0.0001178987320217,,,,,-5.937104512220015e-05,0.0001223597450436,,,,
0.01,0.06,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.0001574555742054,0.0002766221028075,,,,,-9.981675187699986e-05,0.0002925416712931,,,,
0.01,0.05,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.0004202902087721,-0.0006821601726558,,,,,-0.000416877619859,-0.000683365883146,,,,
0.01,0.04,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.0002198618044538,-0.0002030687998646,,,,,-0.0002176890547734,-0.0002040821960502,,,,
0.01,0.03,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.0002368211455655,0.0011809255047119,,,,,-0.0002427599722799,0.0011975963032754,,,,
0.01,0.02,,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.000180120412343,-0.0006316268162223,,,,,-0.0001815802681025,-0.0006539766487362,,,,
0.01,0.01,0.7553154726696916,1.0040675680843909e-06,1.4136814440607743,1.4142135623730956,-0.0003277242677028,-0.0021502845317607,-0.0001506463864894,-0.0002229573408777,-0.0001509455986313,-0.0018733030863255,-0.000291721524668,-0.002147939530586,-0.0001281655391518,-0.0019138230109106,-0.0001281655391518,-0.0019138230109106
0.02,0.09,,1.0143131555138237e-06,1.4136814440607743,1.4142135623730956,-0.0003020293821671,-0.001735216803652,,,,,-0.0003280207587236,-0.001730493479745,,,,
