m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.3,0.8,0.6555876770041492,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.002477155492851,,-0.0095038661855869,,0.0023690234310157,,-0.0024244852344482,,0.0023602178220473,,0.0023602178220473,
0.3,0.7,1.3417092459390991,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0024023764297836,,-0.0039125989678267,,-0.0012453905891012,,-0.0023671955984298,,-0.0012169219219507,,-0.0012169219219507,
0.3,0.6,1.6538596199166304,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0022423645250823,,-0.0028735360500918,,-0.0017561864107225,,-0.0021999154114371,,-0.0017558419972131,,-0.0017558419972131,
0.3,0.5,1.8847752157086264,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0023233730078974,,-0.0024662358021057,,-0.0021226272154237,,-0.0023232652640856,,-0.002078537088233,,-0.002078537088233,
0.3,0.4,2.098935712798196,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0022381453143249,,-0.0018632407618874,,-0.002396377630521,,-0.0021716912423509,,-0.0023642774270067,,-0.0023642774270067,
0.3,0.3,2.3152271401989224,1.420038417719353e-06,1.4136814440607743,1.4142135623730956,-0.0021650524170632,,-0.0015893131701448,,-0.0024990395373108,,-0.0021132618769073,,-0.0024510925404179,,-0.0024510925404179,
0.4,0.9,,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0034134200521759,,,,,,-0.0033965501074311,,,,,
0.4,0.8,1.5736412697537372,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0031264541509792,,-0.0045393263173331,,-0.0024880564202671,,-0.0030992943259085,,-0.002451366300623,,-0.002451366300623,
0.4,0.7,2.025359189137069,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0032305221096431,,-0.0031202615907572,,-0.0031666161443553,,-0.003160330116494,,-0.003131948710789,,-0.003131948710789,
0.4,0.6,2.214356503318317,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0029863710180006,,-0.0026282376228934,,-0.0033797508011194,,-0.0029415366397146,,-0.00330519190748,,-0.00330519190748,
0.4,0.5,2.337355079671674,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.0030016152070158,,-0.0025752114181914,,-0.0033961580011328,,-0.0029502451271721,,-0.0033212122227271,,-0.0033212122227271,
0.4,0.4,2.455171130268763,1.656711487339245e-06,1.4136814440607743,1.4142135623730956,-0.002842567712955,,-0.0024538282631001,,-0.0031867432843966,,-0.00279069600684,,-0.0031313080753779,,-0.0031313080753779,
0.5,0.9,,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0044567079189147,,,,,,-0.0044776545389938,,,,,
0.5,0.8,2.0882727424955005,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0046093185888155,,-0.0046262857608483,,-0.0047550638554356,,-0.0045692928671344,,-0.0047042717969122,,-0.0047042717969122,
0.5,0.7,2.433763081857055,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0045232513568386,,-0.003615695249383,,-0.0048826833621839,,-0.0044931511539797,,-0.0048489137559896,,-0.0048489137559896,
0.5,0.6,2.5512438364419507,1.9880537848070942e-06,1.4136814440607743,1.4142135623730956,-0.0036921798489967,,-0.0030106344628668,,-0.0043961622938321,,-0.0036565160437508,,-0.0043277482278094,,-0.0043277482278094,
