m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_M_minus_MoSChangeEpsDelta_realmean,difference_gaussian_M_minus_MoSChangeEpsDelta_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.3,0.5,1.8847752157086264,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.002406815260325,,-0.0026635573448788,,-0.0021943410109923,,-0.0015659810336117,,-0.0014045918289302,,-0.0014045918289302,
0.3,0.4,2.098935712798196,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0018650383381456,,-0.0017652606145639,,-0.0019485921193787,,-0.0010686391759139,,-0.001176678240848,,-0.001176678240848,
0.3,0.3,2.3152271401989224,1.420038417719353e-06,1.4129256384925348,1.4142135623730956,-0.0020152368432856,,-0.0016084505169783,,-0.0023639192390209,,-0.0013114224185063,,-0.0014174885439765,,-0.0014174885439765,
0.4,0.9,,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0034218972318582,,,,,,-0.0023654124659104,,,,,
0.4,0.8,1.5736412697537372,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0033690387268349,,-0.0038934872527757,,-0.0028212965870254,,-0.0023704238211569,,-0.0021916660583495,,-0.0021916660583495,
0.4,0.7,2.025359189137069,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0031367878799537,,-0.0031163075124021,,-0.0032577431954118,,-0.0021886215269596,,-0.0022377533211076,,-0.0022377533211076,
0.4,0.6,2.214356503318317,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0028664243775939,,-0.0029847832341864,,-0.0031353364737602,,-0.0019304968567922,,-0.0019423680535201,,-0.0019423680535201,
0.4,0.5,2.337355079671674,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0028432766578128,,-0.0024969265252771,,-0.0032135274460339,,-0.0019137248723609,,-0.0022081290941392,,-0.0022081290941392,
0.4,0.4,2.455171130268763,1.656711487339245e-06,1.4129256384925348,1.4142135623730956,-0.0026277443461804,,-0.0024037218543749,,-0.0029839985548192,,-0.0017814101271759,,-0.00188119973557,,-0.00188119973557,
0.5,0.9,,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,-0.004384236812339,,,,,,-0.0033378281531585,,,,,
0.5,0.8,2.0882727424955005,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,-0.0044249700664444,,-0.004492032245102,,-0.0045101851153341,,-0.0034322891251717,,-0.0034733559824264,,-0.0034733559824264,
0.5,0.7,2.433763081857055,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,-0.0039792002168081,,-0.0035635613209166,,-0.0044343153897309,,-0.0030476959250586,,-0.0032090516347848,,-0.0032090516347848,
0.5,0.6,2.5512438364419507,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,-0.0040506216753096,,-0.0035177328957345,,-0.0045008603362255,,-0.0031670713444077,,-0.0032979915818124,,-0.0032979915818124,
0.5,0.5,2.623081256179673,1.9880537848070942e-06,1.4129256384925348,1.4142135623730956,-0.0038160644583197,,-0.0030341143689712,,-0.0042769821491613,,-0.0027013486113077,,-0.0030178988980518,,-0.0030178988980518,
0.6,0.9,1.279512022868854,2.485067231008867e-06,1.4129256384925348,1.4142135623730956,-0.0061325804811832,,-0.0084881386209475,,-0.0049471436374301,,-0.0048100929599061,,-0.0042896821739174,,-0.0042896821739174,
