m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.3,0.6,6.958188246824828e-07,1.2307056927355975,-0.1234850362414151,-0.1241031135697003,-0.2735495667129513,-0.2643575593617764,-0.1226807132691812,-0.1228916562050432,-0.2723942732321811,-0.2635395061502369
0.3,0.5,6.958188246824828e-07,0.9475964702868284,-0.1311501706641198,-0.1335320944163283,-0.2446683211580186,-0.2441979383328117,-0.1318221466479003,-0.1337074976744069,-0.245299241219174,-0.2439253372974144
0.3,0.4,6.958188246824828e-07,0.6620849586027407,-0.1250163367895058,-0.1208676448522411,-0.177659929103568,-0.1677427664659515,-0.1244220689266206,-0.1212566767707258,-0.1769611873231114,-0.1670776228334362
0.3,0.3,6.958188246824828e-07,0.3743905150858683,-0.1201110224252438,-0.1013582145353923,-0.0457376188920899,-0.0300821764220902,-0.1198810674492251,-0.10084375670109,-0.0454732259713421,-0.0299607056178172
0.4,0.9,5.964161354421282e-07,2.7046149070688505,-0.2148918877876763,-0.2272577196618815,-0.4134155968325403,-0.4173073357184729,-0.2134447463517981,-0.2266102486593529,-0.4108251212188166,-0.4159159398802018
0.4,0.8,5.964161354421282e-07,1.3625307643525733,-0.1828564391799913,-0.2146880918813494,-0.3234630104952926,-0.3642465698975482,-0.1821943517217965,-0.2146325244226616,-0.3228356559718089,-0.3634923333503154
0.4,0.7,5.964161354421282e-07,0.97242167237925,-0.2081261556167357,-0.2035705645305505,-0.326319454252739,-0.3135035240788972,-0.2070912159249732,-0.2035328412174683,-0.3245793533236415,-0.3131851205229036
0.4,0.6,5.964161354421282e-07,0.7354847533049613,-0.197944643317369,-0.1813424871943735,-0.2800680598320232,-0.2572305222223702,-0.1964096164690898,-0.1817032245055865,-0.2796407199765569,-0.257291497385756
0.4,0.5,5.964161354421282e-07,0.5309298036201614,-0.1892143485546396,-0.183120112923197,-0.202991667938708,-0.1828309963039247,-0.1889300849475713,-0.1830364958364245,-0.2016856858520682,-0.18253054994874
0.4,0.4,5.964161354421282e-07,0.3287516252694073,-0.1749670581156595,-0.1839781648580895,-0.0484874725452618,-0.0558864009788926,-0.1740311475780953,-0.1831387483716697,-0.0481794269590094,-0.055358734204415
